metrics;louvain_prob_pred_mean;louvain_prob_pred;grace_sbm_mean;grace_sbm;grace_sbm+random_mean;grace_sbm+random;grace_sbm+deg_mean;grace_sbm+deg;grace_sbm+scom_mean;grace_sbm+scom;grace_sbm2_mean;grace_sbm2;bgrl_sbm_mean;bgrl_sbm;bgrl_sbm+random_mean;bgrl_sbm+random;bgrl_sbm+deg_mean;bgrl_sbm+deg;bgrl_sbm+scom_mean;bgrl_sbm+scom;bgrl_sbm2_mean;bgrl_sbm2
Hits@10;47.36$\pm$10.45;"[0.37761852 0.35611907 0.3831312  0.46747519 0.55292172 0.3660419
 0.42171996 0.5567806  0.66868798 0.58544653]";76.0$\pm$5.79;"[0.82414553 0.82690187 0.70121279 0.75468578 0.72381477 0.80981257
 0.76074972 0.65600882 0.82910695 0.71389195]";78.19$\pm$4.78;"[0.85832415 0.75689085 0.72546858 0.83958104 0.76350606 0.84454245
 0.77949283 0.72877619 0.792172   0.73042999]";83.41$\pm$5.1;"[0.9106946  0.8368247  0.77508269 0.86493936 0.84564498 0.84729879
 0.80044101 0.73098126 0.89470783 0.83461963]";80.64$\pm$5.39;"[0.88643881 0.74255788 0.78555678 0.80815877 0.81863286 0.86493936
 0.7646086  0.8092613  0.87045204 0.71334068]";73.35$\pm$4.99;"[0.69790518 0.72491731 0.6615215  0.70507166 0.70948181 0.7662624
 0.77398015 0.72491731 0.85170893 0.71940463]";89.21$\pm$2.02;"[0.91455347 0.89746417 0.85887541 0.89305402 0.86383682 0.91896362
 0.87761852 0.91510474 0.90077178 0.88092613]";90.14$\pm$1.6;"[0.91951488 0.91455347 0.87155458 0.91014333 0.88643881 0.91730981
 0.8985667  0.89305402 0.91786108 0.88533627]";91.11$\pm$1.22;"[0.92557883 0.92668137 0.89250276 0.92061742 0.90628445 0.91179713
 0.89636163 0.91730981 0.91896362 0.8952591 ]";89.63$\pm$1.76;"[0.92061742 0.91620728 0.85501654 0.90352811 0.89029768 0.89581036
 0.88423374 0.90132304 0.90628445 0.88919515]";84.51$\pm$3.7;"[0.89470783 0.86163175 0.85060639 0.88202867 0.79327453 0.82194046
 0.79713341 0.8985667  0.8109151  0.84068357]"
Hits@20;72.99$\pm$8.2;"[0.65711136 0.73814774 0.73814774 0.81918412 0.79933848 0.65270121
 0.55347299 0.8246968  0.78445424 0.73153252]";87.23$\pm$2.72;"[0.88037486 0.91179713 0.82965821 0.8952591  0.87486218 0.89966924
 0.85170893 0.83627343 0.89360529 0.84950386]";88.31$\pm$1.95;"[0.90407938 0.88533627 0.85832415 0.89305402 0.8985667  0.89746417
 0.84619625 0.85942668 0.89084895 0.89746417]";91.25$\pm$1.84;"[0.92998897 0.93164278 0.87320838 0.9261301  0.90573319 0.92006615
 0.89911797 0.91896362 0.9277839  0.89195149]";89.16$\pm$2.04;"[0.91179713 0.90407938 0.84895259 0.87816979 0.88699008 0.91014333
 0.88533627 0.89966924 0.91896362 0.87210584]";84.75$\pm$3.15;"[0.80429989 0.83076075 0.81808159 0.85887541 0.80815877 0.86714443
 0.85281147 0.87596472 0.9106946  0.84840132]";92.32$\pm$1.05;"[0.92337376 0.9244763  0.90407938 0.92227122 0.92833517 0.92833517
 0.91014333 0.94432194 0.91786108 0.92888644]";92.78$\pm$0.7;"[0.93219405 0.93329658 0.91455347 0.93219405 0.92227122 0.92943771
 0.91951488 0.93936053 0.9261301  0.92888644]";93.64$\pm$0.79;"[0.93770673 0.94266814 0.91896362 0.9432194  0.93495039 0.93936053
 0.92998897 0.94873208 0.93660419 0.93164278]";93.09$\pm$0.89;"[0.93109151 0.94432194 0.91841235 0.9399118  0.93274531 0.92833517
 0.91565601 0.94046307 0.9244763  0.93329658]";91.14$\pm$1.5;"[0.91565601 0.91786108 0.90022051 0.91179713 0.89801544 0.92723264
 0.87596472 0.9244763  0.91730981 0.92502756]"
Hits@50;89.99$\pm$1.05;"[0.90022051 0.90297685 0.90683572 0.91675854 0.89084895 0.89029768
 0.87761852 0.90463065 0.90132304 0.90738699]";92.08$\pm$0.61;"[0.90848953 0.92888644 0.92006615 0.92227122 0.91730981 0.93164278
 0.91675854 0.92171996 0.92061742 0.92061742]";93.56$\pm$0.68;"[0.93219405 0.9432194  0.92337376 0.93384785 0.93439912 0.9415656
 0.92502756 0.93936053 0.94101433 0.94211687]";94.98$\pm$0.54;"[0.94542448 0.95589857 0.9399118  0.95424476 0.95148842 0.9553473
 0.94432194 0.95314223 0.9536935  0.94487321]";94.25$\pm$0.62;"[0.9432194  0.94818082 0.92833517 0.94101433 0.94652701 0.94377067
 0.93439912 0.94818082 0.94818082 0.9432194 ]";93.12$\pm$0.97;"[0.92723264 0.93880926 0.90959206 0.92723264 0.93054024 0.93054024
 0.93936053 0.94652701 0.93715546 0.92502756]";93.75$\pm$0.59;"[0.93274531 0.93770673 0.93605292 0.93880926 0.94707828 0.93439912
 0.92888644 0.94818082 0.93219405 0.93880926]";93.91$\pm$0.48;"[0.93880926 0.9415656  0.93219405 0.94211687 0.9432194  0.93936053
 0.93054024 0.94707828 0.93605292 0.9399118 ]";95.09$\pm$0.58;"[0.94487321 0.95479603 0.94487321 0.9536935  0.96085998 0.95314223
 0.94211687 0.9570011  0.94597574 0.95203969]";94.43$\pm$0.55;"[0.93936053 0.94928335 0.93660419 0.94873208 0.95259096 0.94266814
 0.93495039 0.94818082 0.94377067 0.94652701]";94.62$\pm$0.48;"[0.9432194  0.94818082 0.94542448 0.94818082 0.95093716 0.95203969
 0.93384785 0.94542448 0.94707828 0.94762955]"
Hits@100;93.01$\pm$0.49;"[0.9261301  0.93605292 0.93219405 0.92998897 0.92668137 0.92998897
 0.92392503 0.93825799 0.92337376 0.93439912]";94.16$\pm$0.32;"[0.94211687 0.94542448 0.93880926 0.9399118  0.94487321 0.9432194
 0.93936053 0.93770673 0.94707828 0.93770673]";95.25$\pm$0.42;"[0.94818082 0.9536935  0.94983462 0.95314223 0.95865491 0.95148842
 0.94377067 0.95424476 0.95755237 0.95479603]";95.89$\pm$0.36;"[0.9553473  0.96196251 0.95479603 0.96471885 0.96085998 0.96085998
 0.95314223 0.95920617 0.96196251 0.95644983]";95.47$\pm$0.34;"[0.9536935  0.95589857 0.95038589 0.95203969 0.96306505 0.9553473
 0.95203969 0.9553473  0.9570011  0.95259096]";94.93$\pm$0.43;"[0.94983462 0.94928335 0.93936053 0.95038589 0.95093716 0.95644983
 0.94707828 0.95424476 0.94818082 0.94762955]";94.29$\pm$0.52;"[0.93880926 0.94377067 0.94266814 0.94266814 0.95148842 0.93936053
 0.93495039 0.95038589 0.93770673 0.94707828]";94.49$\pm$0.4;"[0.94266814 0.94542448 0.9415656  0.94928335 0.95203969 0.94487321
 0.93880926 0.94928335 0.94101433 0.94432194]";95.61$\pm$0.6;"[0.94652701 0.96030871 0.94983462 0.9570011  0.96582139 0.95810364
 0.95148842 0.95975744 0.94983462 0.96251378]";94.89$\pm$0.44;"[0.94432194 0.95314223 0.94266814 0.95203969 0.95479603 0.94707828
 0.94266814 0.95148842 0.94707828 0.9536935 ]";95.51$\pm$0.26;"[0.95314223 0.95424476 0.95479603 0.95479603 0.95589857 0.96085998
 0.95038589 0.9553473  0.95424476 0.9570011 ]"
ROCAUC;96.04$\pm$0.34;"[0.95833612 0.96085025 0.96224544 0.96095905 0.96272602 0.95656842
 0.95381353 0.96592112 0.95908418 0.96332853]";97.1$\pm$0.22;"[0.97094387 0.9726817  0.96952133 0.96948212 0.97458573 0.97173604
 0.96797434 0.97069401 0.97437365 0.96834768]";97.37$\pm$0.22;"[0.97312159 0.97249981 0.97181362 0.97387403 0.97795628 0.97473229
 0.97003066 0.97319159 0.97656625 0.97334161]";98.17$\pm$0.29;"[0.98354827 0.98179479 0.97440297 0.98346439 0.98297698 0.98585738
 0.97927397 0.98109863 0.98126663 0.98293805]";97.49$\pm$0.27;"[0.97693062 0.97520844 0.97203546 0.97519948 0.97787205 0.9760124
 0.97089327 0.97488386 0.97921976 0.97106694]";97.31$\pm$0.24;"[0.97206008 0.97320546 0.967515   0.97105084 0.97449664 0.97357411
 0.9758837  0.97577538 0.97545839 0.97219668]";96.67$\pm$0.32;"[0.96405545 0.96528349 0.96381385 0.96520554 0.97158218 0.96646266
 0.9634434  0.97111028 0.96425049 0.97129547]";96.68$\pm$0.29;"[0.96589691 0.96643708 0.96453211 0.96689171 0.96922979 0.96738306
 0.96168141 0.97057847 0.96403007 0.97170209]";97.58$\pm$0.36;"[0.97531298 0.97944628 0.97028289 0.97518747 0.97948146 0.97872313
 0.9742299  0.9763572  0.96903468 0.97970915]";96.92$\pm$0.3;"[0.96764188 0.97210353 0.96851968 0.96720108 0.9703112  0.97109203
 0.96383224 0.97151377 0.96562425 0.97367437]";97.14$\pm$0.16;"[0.96961204 0.97109581 0.97268094 0.9706035  0.97185736 0.97211764
 0.96801795 0.97241927 0.97151509 0.97385185]"
AP;96.86$\pm$0.32;"[0.96539407 0.96687472 0.96836602 0.97031376 0.97005205 0.96536777
 0.96317218 0.9736619  0.97102592 0.97202365]";97.68$\pm$0.26;"[0.97727546 0.977679   0.97342319 0.97805478 0.97821397 0.97982754
 0.97392609 0.97730868 0.98049249 0.97222587]";98.06$\pm$0.18;"[0.98244704 0.97875187 0.97687866 0.98145964 0.97988544 0.98183765
 0.97983986 0.9808975  0.98337995 0.98057791]";98.65$\pm$0.23;"[0.98848356 0.98765443 0.98106972 0.98843567 0.9868351  0.98899895
 0.98399341 0.98558038 0.98677149 0.98686224]";98.13$\pm$0.26;"[0.98490787 0.98105403 0.97617239 0.98288027 0.98326416 0.98317387
 0.97813982 0.98144708 0.98310105 0.97913019]";97.87$\pm$0.25;"[0.97781448 0.97883835 0.97551334 0.97850289 0.97563423 0.98194596
 0.98035254 0.98140306 0.98187796 0.97544613]";97.83$\pm$0.18;"[0.97819345 0.97667704 0.9758681  0.97800127 0.97995671 0.97767396
 0.97630002 0.98045361 0.97808467 0.98148927]";97.89$\pm$0.19;"[0.97945366 0.97796898 0.97550388 0.9800658  0.9792489  0.97918672
 0.97608677 0.9811617  0.97847118 0.98210912]";98.44$\pm$0.2;"[0.98379301 0.98624758 0.98114156 0.9845289  0.98623522 0.98591027
 0.98336648 0.98512841 0.98110168 0.98687531]";98.06$\pm$0.16;"[0.98027857 0.98208123 0.97879312 0.98063426 0.97991569 0.98121991
 0.9781517  0.98198002 0.97922174 0.98380019]";98.16$\pm$0.11;"[0.98189283 0.98012426 0.98267998 0.98044516 0.98197868 0.98216235
 0.9799096  0.98294838 0.98082515 0.98261343]"
pretrain_time;nan$\pm$nan;[];241.93$\pm$8.48;"[250.91493487 238.0827508  249.45902443 256.54036951 234.41103125
 241.10595059 231.28958011 236.72985816 249.11243844 231.69713855]";244.27$\pm$6.97;"[247.96616793 236.37381697 250.7520566  244.57711434 237.41426182
 249.35254526 240.96990705 239.31662774 258.73669863 237.22538233]";492.68$\pm$194.39;"[727.20569205 244.44192934 264.76456308 600.47335315 740.21682405
 432.60249186 716.27192712 587.91962194 259.75724959 353.14748263]";256.44$\pm$9.26;"[261.67291856 249.33236718 273.22431183 247.39947796 260.61756825
 267.29850817 256.71018243 256.84647131 250.45435524 240.81661797]";776.83$\pm$273.25;"[ 779.39355421 1351.0006969   542.53537345  527.95881844  848.39773059
  575.66732335  647.68016934 1207.58379889  551.69197226  736.41287303]";273.77$\pm$15.43;"[277.72916913 253.74629617 291.2819345  295.20513797 246.68695211
 261.01399302 280.1539712  274.42989182 289.01635456 268.47804165]";284.75$\pm$14.33;"[291.19553566 264.15543342 302.49735069 306.02778649 276.41430449
 269.72397542 292.28690457 278.03775644 298.06621337 269.09417629]";352.17$\pm$19.23;"[365.31934309 358.48505449 311.45799017 345.04959989 375.05403519
 378.93351936 347.42200112 356.58693719 329.9855442  353.44748282]";314.1$\pm$14.73;"[301.22568083 302.96410751 341.27976727 295.85762286 317.98519945
 316.39626265 328.21971083 324.1972971  320.051054   292.84579086]";815.16$\pm$264.79;"[1216.57723022  619.90779376  635.75869942  663.4562366   929.85373592
 1389.40698791  631.37852263  789.08283186  695.53155303  580.68696952]"
