metrics;a2bgrl_random_mean;a2bgrl_random;a2bgrl_deg_mean;a2bgrl_deg;a2bgrl_pr_mean;a2bgrl_pr;a2bgrl_evc_mean;a2bgrl_evc;a2bgrl_scom_mean;a2bgrl_scom;a2bgrl_random+scom_mean;a2bgrl_random+scom;a2bgrl_random+deg_mean;a2bgrl_random+deg;a2bgrl_deg+scom_mean;a2bgrl_deg+scom
Hits@10;19.81$\pm$5.86;"[0.23723547 0.2172909  0.25314914 0.24420558 0.16535102 0.10341787
 0.23018139 0.08737823 0.18386799 0.25902754]";16.65$\pm$4.01;"[0.14481861 0.10673497 0.12541989 0.18143265 0.14905946 0.19470104
 0.22732617 0.21267215 0.12151495 0.20091535]";24.63$\pm$4.72;"[0.25655022 0.26822304 0.2617568  0.17631004 0.22862781 0.30336748
 0.27305173 0.28598421 0.14452469 0.264696  ]";23.34$\pm$4.34;"[0.23723547 0.31810548 0.21720692 0.19675848 0.20981693 0.29463386
 0.25659221 0.23131508 0.16698858 0.20486228]";22.99$\pm$4.24;"[0.30122607 0.29324824 0.21636715 0.18945247 0.17412664 0.2378653
 0.26767719 0.22245549 0.18361606 0.21313403]";21.39$\pm$4.3;"[0.20654182 0.1974303  0.27418542 0.1922657  0.20171313 0.28506046
 0.23421229 0.16421733 0.14183742 0.24122439]";22.7$\pm$5.33;"[0.20372859 0.30571884 0.21325999 0.14754787 0.29488579 0.27582298
 0.27145616 0.16362949 0.18277628 0.21132852]";21.75$\pm$5.44;"[0.27947598 0.19671649 0.23228082 0.25512261 0.21750084 0.28514444
 0.24622103 0.21787874 0.11135371 0.13339772]"
Hits@20;29.83$\pm$4.49;"[0.35362781 0.30462714 0.34476822 0.32625126 0.28598421 0.2187605
 0.31411656 0.22934162 0.26704736 0.33888982]";27.85$\pm$4.82;"[0.36928955 0.27599093 0.20423245 0.26226067 0.22745213 0.31193315
 0.29845482 0.31760161 0.22161572 0.29597749]";34.3$\pm$4.37;"[0.34695163 0.38839436 0.33120591 0.28959523 0.33137387 0.38717669
 0.38075244 0.3808784  0.24773262 0.34564998]";33.33$\pm$5.17;"[0.38600101 0.39040981 0.30953981 0.31537622 0.31529224 0.37579778
 0.37311051 0.36534263 0.22337924 0.27838428]";32.42$\pm$3.08;"[0.33464898 0.35715485 0.32822472 0.31046355 0.31722372 0.36462882
 0.33763016 0.34371851 0.25398892 0.29417199]";31.05$\pm$3.4;"[0.33120591 0.29186261 0.33943567 0.31310883 0.26662748 0.37907289
 0.32637723 0.2797699  0.264696   0.31268895]";32.32$\pm$2.92;"[0.35711287 0.33796607 0.35169634 0.28480853 0.35644105 0.33918374
 0.33175176 0.27674672 0.29501176 0.30160396]";33.1$\pm$4.96;"[0.3573648  0.36055593 0.33901579 0.38826839 0.31390662 0.40678535
 0.32734296 0.26759321 0.23396036 0.31541821]"
Hits@50;49.28$\pm$2.72;"[0.52691468 0.50705408 0.50541653 0.53846154 0.44180383 0.48312059
 0.46229426 0.48320457 0.4941216  0.48517803]";43.85$\pm$4.18;"[0.49223211 0.47783003 0.37176688 0.42488243 0.37659557 0.47300134
 0.45452637 0.47783003 0.39901747 0.43764696]";51.97$\pm$2.81;"[0.51331038 0.52699866 0.50461874 0.54858079 0.49076251 0.55345146
 0.50407289 0.56525025 0.47048203 0.51914679]";51.39$\pm$4.12;"[0.54211454 0.54526369 0.5051646  0.53027377 0.47568861 0.54660732
 0.49731273 0.58544676 0.44722036 0.46372187]";49.24$\pm$3.53;"[0.53816762 0.49063655 0.4738831  0.46069869 0.49323984 0.54194659
 0.47245549 0.54736312 0.45536614 0.45070541]";47.73$\pm$3.03;"[0.47245549 0.459565   0.4915603  0.49727074 0.45095734 0.52212798
 0.48190292 0.51339436 0.47115385 0.41253779]";51.1$\pm$2.38;"[0.52196003 0.51247061 0.47409305 0.53073564 0.52741854 0.55345146
 0.48429627 0.50634028 0.51847497 0.48034934]";50.16$\pm$3.6;"[0.536782   0.52141418 0.48853712 0.55084817 0.45456836 0.54761505
 0.51053913 0.49487739 0.45209103 0.45914511]"
Hits@100;63.37$\pm$2.25;"[0.67950118 0.62101108 0.64108163 0.65346826 0.59392845 0.62403426
 0.62789721 0.65065502 0.63024857 0.61479678]";59.22$\pm$4.85;"[0.67097749 0.63873027 0.50394693 0.58763016 0.54887471 0.60249412
 0.58410312 0.65216661 0.5533255  0.57969432]";66.46$\pm$2.96;"[0.69910984 0.65892677 0.63915015 0.67290897 0.63045852 0.67227914
 0.67870339 0.72274941 0.62281659 0.6485136 ]";64.99$\pm$3.45;"[0.69402922 0.64431475 0.63646288 0.68340611 0.62407625 0.65678535
 0.63301982 0.71292408 0.60870843 0.60534934]";63.52$\pm$3.42;"[0.68357407 0.64213134 0.58830198 0.6577091  0.62722539 0.65754115
 0.62138898 0.68449782 0.60358582 0.58595062]";62.54$\pm$3.24;"[0.64645616 0.64318105 0.59292073 0.63453141 0.59035942 0.63251596
 0.64943735 0.68357407 0.61202553 0.56886127]";67.2$\pm$2.17;"[0.69512093 0.65086496 0.64968928 0.69680047 0.68122271 0.67706584
 0.64586832 0.70587    0.67135539 0.64591031]";66.51$\pm$3.02;"[0.69344138 0.66006046 0.61975143 0.70528216 0.62105307 0.6863873
 0.66782835 0.70238495 0.63734464 0.65733121]"
ROCAUC;98.72$\pm$0.04;"[0.9871851  0.98653829 0.98684536 0.98810585 0.98690418 0.98722043
 0.98780218 0.98717367 0.98735789 0.98735956]";98.79$\pm$0.06;"[0.98828172 0.98849217 0.98672968 0.98753663 0.98771206 0.98776026
 0.9881064  0.98864579 0.98705903 0.98831549]";98.86$\pm$0.05;"[0.98769888 0.9885685  0.98794085 0.98932354 0.98857496 0.98919438
 0.98909501 0.98863638 0.98822788 0.98847111]";98.84$\pm$0.06;"[0.98808668 0.98744407 0.98764054 0.98929664 0.9884672  0.98916117
 0.98873644 0.98881275 0.98819979 0.98776483]";98.79$\pm$0.05;"[0.98767349 0.98749702 0.9873239  0.98825604 0.98780419 0.98890394
 0.98858505 0.98776776 0.98769767 0.98756176]";98.73$\pm$0.04;"[0.98723006 0.98705644 0.98681061 0.9875216  0.98719307 0.98791851
 0.98814883 0.98753948 0.9873899  0.98661967]";98.83$\pm$0.05;"[0.98787614 0.98771916 0.98791348 0.98898228 0.98875347 0.98908627
 0.98853385 0.98804926 0.9884627  0.98763832]";98.74$\pm$0.09;"[0.98622947 0.98686867 0.98665588 0.9891069  0.98853121 0.98816929
 0.9876793  0.98703185 0.98693558 0.98702496]"
AP;98.74$\pm$0.06;"[0.98814439 0.987091   0.98731142 0.98847259 0.9868993  0.98652247
 0.98801689 0.98701453 0.98715264 0.98773431]";98.72$\pm$0.11;"[0.98843723 0.98805491 0.98525124 0.98667139 0.98632785 0.98711923
 0.98764908 0.98877798 0.98565921 0.98759543]";98.9$\pm$0.05;"[0.9887454  0.98916153 0.98836823 0.98930723 0.98871313 0.98969832
 0.98965821 0.98958082 0.98802748 0.98892171]";98.87$\pm$0.07;"[0.98911897 0.98837602 0.98806009 0.98943773 0.98833421 0.9895516
 0.98910381 0.9894866  0.98780076 0.9875827 ]";98.82$\pm$0.05;"[0.98845963 0.98798202 0.98752762 0.98830692 0.98777593 0.98911418
 0.98866872 0.98862212 0.98746928 0.98760525]";98.75$\pm$0.05;"[0.98770163 0.98732884 0.98722143 0.9875026  0.98708489 0.98811969
 0.9882258  0.98792762 0.98702094 0.98664369]";98.89$\pm$0.05;"[0.98908175 0.98878195 0.98800153 0.98932948 0.98932122 0.98959602
 0.98910753 0.98862419 0.988857   0.9882819 ]";98.83$\pm$0.08;"[0.98826238 0.9879175  0.98695263 0.98976833 0.98869429 0.98935278
 0.98878732 0.98802273 0.98724362 0.98768921]"
pretrain_time;237.92$\pm$14.07;"[252.78346872 222.01984692 217.79937696 215.76747775 249.61778569
 249.50795507 253.56488013 232.81087518 246.12519813 239.2340672 ]";517.88$\pm$81.05;"[496.96632862 326.18695951 592.67953157 540.11088347 596.71653819
 513.20513272 454.18574476 569.31443691 608.10219097 481.3012805 ]";251.02$\pm$12.61;"[224.46137547 254.2250309  229.31314659 259.90547633 260.2119031
 254.58110857 261.79601479 249.57511973 260.25675368 255.8925662 ]";276.35$\pm$58.84;"[258.56783247 451.8240819  258.00096607 270.0807724  261.46166754
 258.28099108 258.67549396 248.46512794 251.86267734 246.25080681]";265.68$\pm$13.49;"[259.15526795 297.04837871 269.29817176 269.28023291 252.57286239
 250.4103713  277.20689631 254.6178112  270.64974093 256.53750873]";242.93$\pm$7.02;"[246.5465076  239.74454284 243.80220413 231.63407636 248.32064104
 238.02690506 252.81615186 242.42287517 252.746279   233.22218394]";526.01$\pm$94.28;"[567.91736078 551.90981674 531.38248539 594.51591563 591.59918809
 261.47305369 508.31528282 528.27027845 514.95984817 609.77926135]";425.87$\pm$102.81;"[490.02760291 447.62232995 444.94493508 247.93010855 250.03745461
 500.07175922 603.30059814 450.16136217 401.60456061 423.02542973]"
