metrics;baseline,enc:gcn_bgrl,pred:inner_mean;baseline,enc:gcn_bgrl,pred:inner;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;baseline,enc:gcn_bgrl,pred:ncn_mean;baseline,enc:gcn_bgrl,pred:ncn;grace,enc:gcn_bgrl,pred:inner,random_mean;grace,enc:gcn_bgrl,pred:inner,random;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random;grace,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:ncn,random_mean;grace,enc:gcn_bgrl,pred:ncn,random;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random;bgrl,enc:gcn_bgrl,pred:inner,random_mean;bgrl,enc:gcn_bgrl,pred:inner,random;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;bgrl,enc:gcn_bgrl,pred:ncn,random_mean;bgrl,enc:gcn_bgrl,pred:ncn,random;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:inner,random_mean;lgrace,enc:gcn_bgrl,pred:inner,random;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast+random
Hits@10;81.11$\pm$1.56;"[0.80291971 0.82116788 0.8229927  0.82664234 0.79927007 0.78467153
 0.79744526 0.82846715 0.79744526 0.83029197]";78.5$\pm$1.33;"[0.76277372 0.7810219  0.79562044 0.80474453 0.77189781 0.77372263
 0.78284672 0.77919708 0.79927007 0.79927007]";78.87$\pm$1.06;"[0.77372263 0.79744526 0.79379562 0.80656934 0.77919708 0.77737226
 0.79379562 0.77737226 0.78832117 0.79927007]";77.26$\pm$2.08;"[0.75729927 0.75       0.80839416 0.74635036 0.78284672 0.76642336
 0.76642336 0.76824818 0.81021898 0.77007299]";79.36$\pm$1.07;"[0.76824818 0.80474453 0.79927007 0.80109489 0.78467153 0.79562044
 0.79562044 0.78467153 0.80291971 0.79927007]";69.51$\pm$3.58;"[0.66970803 0.64233577 0.72262774 0.70437956 0.68613139 0.73175182
 0.63868613 0.75364964 0.71532847 0.68613139]";95.09$\pm$1.97;"[0.98722628 0.9580292  0.97262774 0.96167883 0.94890511 0.92153285
 0.95437956 0.9379562  0.92153285 0.94525547]";75.58$\pm$3.33;"[0.72992701 0.76642336 0.79927007 0.78832117 0.7810219  0.72627737
 0.77737226 0.70985401 0.77737226 0.70255474]";71.51$\pm$2.14;"[0.71167883 0.72080292 0.77007299 0.69890511 0.72262774 0.68978102
 0.71167883 0.70985401 0.72262774 0.69343066]";94.6$\pm$0.79;"[0.95437956 0.94343066 0.94890511 0.95985401 0.94525547 0.93613139
 0.95437956 0.93978102 0.93430657 0.94343066]";79.25$\pm$1.1;"[0.76642336 0.80109489 0.79927007 0.80656934 0.78832117 0.79562044
 0.79014599 0.78467153 0.79014599 0.80291971]";77.96$\pm$0.91;"[0.76094891 0.78649635 0.78832117 0.78832117 0.77919708 0.77189781
 0.77372263 0.77372263 0.7810219  0.7919708 ]";94.95$\pm$1.25;"[0.96167883 0.94708029 0.95255474 0.96715328 0.94708029 0.94343066
 0.95985401 0.94343066 0.91970803 0.95255474]";78.18$\pm$1.02;"[0.76642336 0.80291971 0.7919708  0.78832117 0.78284672 0.77007299
 0.7810219  0.77919708 0.77372263 0.7810219 ]";44.03$\pm$9.62;"[0.53284672 0.45620438 0.54927007 0.34489051 0.25364964 0.33029197
 0.47080292 0.48905109 0.55109489 0.42518248]";16.3$\pm$4.81;"[0.12408759 0.15145985 0.17335766 0.19525547 0.15145985 0.17335766
 0.23722628 0.05839416 0.22080292 0.14416058]";77.74$\pm$1.45;"[0.76277372 0.79562044 0.7919708  0.7810219  0.77007299 0.77737226
 0.78284672 0.76094891 0.75364964 0.79744526]";78.49$\pm$1.1;"[0.77189781 0.78467153 0.7919708  0.79744526 0.7810219  0.78284672
 0.78832117 0.77189781 0.77189781 0.80656934]";94.8$\pm$1.01;"[0.96167883 0.94343066 0.94343066 0.95985401 0.95620438 0.93978102
 0.95985401 0.94525547 0.93065693 0.93978102]";79.73$\pm$1.2;"[0.77007299 0.80839416 0.80109489 0.81021898 0.78649635 0.79562044
 0.80109489 0.79014599 0.79744526 0.8120438 ]";76.46$\pm$1.54;"[0.74087591 0.75       0.7919708  0.7810219  0.75       0.75364964
 0.76824818 0.76094891 0.77189781 0.77737226]";82.66$\pm$4.06;"[0.75912409 0.80474453 0.87591241 0.83759124 0.81021898 0.76459854
 0.84124088 0.88321168 0.82664234 0.86313869]";58.5$\pm$11.77;"[0.64781022 0.49087591 0.70437956 0.56934307 0.78832117 0.51642336
 0.5310219  0.53467153 0.69890511 0.36861314]";78.1$\pm$1.28;"[0.76094891 0.76277372 0.80109489 0.78649635 0.77007299 0.77372263
 0.78832117 0.7919708  0.7919708  0.78284672]"
Hits@20;83.03$\pm$1.43;"[0.81569343 0.83029197 0.83759124 0.85218978 0.82116788 0.8229927
 0.81569343 0.84489051 0.8120438  0.85036496]";79.36$\pm$1.54;"[0.76277372 0.80474453 0.79927007 0.81386861 0.77737226 0.7810219
 0.79379562 0.78832117 0.80474453 0.81021898]";79.67$\pm$1.17;"[0.78284672 0.80839416 0.80656934 0.81569343 0.78649635 0.78649635
 0.79744526 0.77919708 0.80109489 0.80291971]";81.24$\pm$1.99;"[0.7810219  0.8229927  0.83029197 0.77919708 0.81569343 0.81569343
 0.79014599 0.82846715 0.83394161 0.82664234]";80.71$\pm$0.99;"[0.78649635 0.82664234 0.80291971 0.8120438  0.80474453 0.8120438
 0.80474453 0.79927007 0.81021898 0.8120438 ]";75.13$\pm$1.92;"[0.74635036 0.75182482 0.74635036 0.73357664 0.76642336 0.77372263
 0.70620438 0.77372263 0.75729927 0.75729927]";96.02$\pm$1.78;"[0.99270073 0.97445255 0.97992701 0.96532847 0.96167883 0.9379562
 0.96167883 0.94343066 0.93613139 0.94890511]";78.8$\pm$1.73;"[0.77007299 0.80474453 0.81569343 0.8120438  0.7919708  0.77007299
 0.78284672 0.76642336 0.7919708  0.77372263]";74.43$\pm$1.36;"[0.72445255 0.74817518 0.77554745 0.74087591 0.74452555 0.75364964
 0.73905109 0.74452555 0.74635036 0.72627737]";95.0$\pm$0.87;"[0.95985401 0.94525547 0.95255474 0.96715328 0.94708029 0.93978102
 0.9580292  0.93978102 0.94343066 0.94708029]";79.96$\pm$1.01;"[0.77554745 0.81021898 0.80109489 0.80839416 0.79014599 0.80109489
 0.80109489 0.79744526 0.79927007 0.8120438 ]";78.61$\pm$1.02;"[0.77007299 0.80656934 0.79379562 0.7919708  0.78284672 0.78467153
 0.77737226 0.77554745 0.78467153 0.79379562]";95.24$\pm$0.78;"[0.96167883 0.94708029 0.95255474 0.96715328 0.94708029 0.94708029
 0.95985401 0.94343066 0.94343066 0.95437956]";79.34$\pm$1.08;"[0.77007299 0.80656934 0.80291971 0.79744526 0.79744526 0.78284672
 0.7919708  0.79014599 0.78832117 0.80656934]";60.24$\pm$7.89;"[0.62226277 0.70255474 0.71715328 0.49270073 0.4689781  0.53284672
 0.62043796 0.61313869 0.66058394 0.59306569]";28.05$\pm$5.16;"[0.28467153 0.20255474 0.32664234 0.30839416 0.28832117 0.31386861
 0.33759124 0.16605839 0.29014599 0.28649635]";78.5$\pm$1.29;"[0.76459854 0.80291971 0.79562044 0.78467153 0.77737226 0.79014599
 0.78649635 0.77007299 0.77372263 0.80474453]";79.4$\pm$0.94;"[0.78284672 0.80109489 0.80109489 0.80291971 0.78467153 0.79562044
 0.79744526 0.77919708 0.78649635 0.80839416]";95.73$\pm$0.75;"[0.9689781  0.95072993 0.95437956 0.96167883 0.96532847 0.94708029
 0.96715328 0.95437956 0.94890511 0.95437956]";80.46$\pm$1.21;"[0.77919708 0.81386861 0.81021898 0.81021898 0.78832117 0.81386861
 0.80474453 0.79744526 0.80656934 0.82116788]";77.66$\pm$1.54;"[0.75547445 0.76824818 0.80839416 0.7919708  0.76642336 0.75547445
 0.7810219  0.77737226 0.77919708 0.78284672]";88.87$\pm$1.7;"[0.87956204 0.86678832 0.90145985 0.89233577 0.87226277 0.8959854
 0.87226277 0.8959854  0.88321168 0.9270073 ]";80.97$\pm$6.16;"[0.80656934 0.80656934 0.87591241 0.84124088 0.82481752 0.8229927
 0.7810219  0.83394161 0.86131387 0.64233577]";80.15$\pm$1.39;"[0.77919708 0.79379562 0.82116788 0.80839416 0.78284672 0.78832117
 0.81569343 0.81021898 0.81386861 0.80109489]"
Hits@50;86.7$\pm$1.39;"[0.85036496 0.87408759 0.86861314 0.88686131 0.87773723 0.85583942
 0.85583942 0.87773723 0.84306569 0.87956204]";80.71$\pm$1.66;"[0.7810219  0.8229927  0.81751825 0.82664234 0.78284672 0.7919708
 0.80291971 0.80109489 0.82116788 0.8229927 ]";81.41$\pm$1.05;"[0.7919708  0.82846715 0.82481752 0.82664234 0.81021898 0.81021898
 0.8120438  0.80474453 0.81386861 0.81751825]";85.71$\pm$1.46;"[0.82664234 0.86131387 0.87956204 0.85036496 0.85766423 0.85218978
 0.84489051 0.8540146  0.87408759 0.87043796]";82.59$\pm$1.22;"[0.79927007 0.84854015 0.8229927  0.83576642 0.8229927  0.82116788
 0.83394161 0.81934307 0.83029197 0.82481752]";80.86$\pm$1.23;"[0.79014599 0.82116788 0.8120438  0.82116788 0.82481752 0.80656934
 0.78649635 0.80474453 0.81569343 0.80291971]";97.54$\pm$1.32;"[0.99635036 0.98722628 0.99452555 0.97080292 0.98175182 0.95620438
 0.97262774 0.96350365 0.96167883 0.9689781 ]";81.77$\pm$1.35;"[0.80109489 0.83941606 0.83941606 0.82664234 0.81751825 0.79744526
 0.81021898 0.81386861 0.8120438  0.81934307]";77.35$\pm$1.56;"[0.74270073 0.78467153 0.79379562 0.77919708 0.75912409 0.79014599
 0.76094891 0.76277372 0.77554745 0.78649635]";95.36$\pm$0.88;"[0.96532847 0.94708029 0.95437956 0.96715328 0.94890511 0.94708029
 0.96532847 0.94343066 0.94343066 0.95437956]";81.84$\pm$1.08;"[0.81021898 0.81934307 0.83029197 0.83211679 0.79927007 0.80291971
 0.82481752 0.81569343 0.82846715 0.82116788]";80.18$\pm$1.68;"[0.78284672 0.84306569 0.81386861 0.79927007 0.79379562 0.81021898
 0.78649635 0.78649635 0.80109489 0.80109489]";95.31$\pm$0.8;"[0.96167883 0.94708029 0.95255474 0.96715328 0.94890511 0.94708029
 0.95985401 0.94343066 0.94343066 0.95985401]";82.48$\pm$1.22;"[0.79379562 0.82846715 0.83941606 0.83211679 0.82846715 0.82116788
 0.81934307 0.81934307 0.83029197 0.83576642]";76.2$\pm$3.5;"[0.77554745 0.80839416 0.80291971 0.77554745 0.70072993 0.72992701
 0.73905109 0.80474453 0.75       0.73357664]";48.34$\pm$5.47;"[0.53467153 0.41240876 0.47262774 0.48722628 0.49635036 0.47810219
 0.55109489 0.39051095 0.44343066 0.56751825]";79.53$\pm$1.17;"[0.77189781 0.80839416 0.80474453 0.80109489 0.78832117 0.80291971
 0.7919708  0.78284672 0.79014599 0.81021898]";81.51$\pm$0.85;"[0.80474453 0.82481752 0.81569343 0.83211679 0.80474453 0.81021898
 0.81386861 0.8120438  0.81021898 0.8229927 ]";97.61$\pm$0.6;"[0.97992701 0.97992701 0.9689781  0.97080292 0.98905109 0.97262774
 0.98175182 0.97262774 0.97262774 0.97262774]";82.45$\pm$1.24;"[0.79744526 0.82846715 0.83029197 0.83576642 0.81751825 0.83211679
 0.8229927  0.80839416 0.83576642 0.83576642]";79.76$\pm$1.34;"[0.78649635 0.79562044 0.81934307 0.8229927  0.78649635 0.77737226
 0.79927007 0.79379562 0.79744526 0.79744526]";91.92$\pm$1.26;"[0.92518248 0.91240876 0.92518248 0.93613139 0.90693431 0.9270073
 0.8959854  0.91240876 0.91240876 0.9379562 ]";88.91$\pm$1.52;"[0.86131387 0.90328467 0.89963504 0.89233577 0.86678832 0.87408759
 0.89963504 0.89781022 0.90693431 0.88868613]";82.74$\pm$1.7;"[0.79744526 0.83576642 0.84671533 0.84854015 0.80109489 0.8120438
 0.83211679 0.83211679 0.83941606 0.82846715]"
Hits@100;89.87$\pm$1.34;"[0.87956204 0.90145985 0.89233577 0.90875912 0.90328467 0.89233577
 0.89051095 0.92335766 0.88138686 0.91423358]";81.95$\pm$1.88;"[0.78832117 0.83941606 0.82664234 0.83759124 0.79562044 0.80656934
 0.8120438  0.80839416 0.83759124 0.84306569]";83.41$\pm$1.25;"[0.81386861 0.83759124 0.8540146  0.8540146  0.83029197 0.82116788
 0.83576642 0.8229927  0.83211679 0.83941606]";89.49$\pm$1.54;"[0.86861314 0.91788321 0.90875912 0.90328467 0.89233577 0.88686131
 0.87956204 0.87773723 0.90510949 0.90875912]";89.1$\pm$0.68;"[0.87299869 0.89924543 0.89418389 0.89541931 0.89229248 0.88989158
 0.8948732  0.88729754 0.89384091 0.89037109]";84.53$\pm$1.16;"[0.82481752 0.8540146  0.84489051 0.85036496 0.86131387 0.84489051
 0.8229927  0.84854015 0.85036496 0.85036496]";98.78$\pm$0.76;"[1.         0.99270073 0.99452555 0.98905109 0.99452555 0.97810219
 0.98905109 0.97627737 0.97992701 0.98357664]";85.6$\pm$1.76;"[0.84854015 0.87773723 0.87773723 0.87956204 0.8540146  0.8229927
 0.85766423 0.83941606 0.84306569 0.85948905]";79.2$\pm$1.65;"[0.76459854 0.80291971 0.80839416 0.80656934 0.77372263 0.81021898
 0.78284672 0.77189781 0.7919708  0.80656934]";95.6$\pm$0.85;"[0.9689781  0.94890511 0.95437956 0.9689781  0.95072993 0.95255474
 0.96715328 0.94890511 0.94525547 0.95437956]";84.69$\pm$1.85;"[0.84671533 0.83211679 0.86131387 0.85948905 0.8229927  0.82481752
 0.86678832 0.8229927  0.85948905 0.87226277]";82.35$\pm$1.31;"[0.81569343 0.85766423 0.82481752 0.81751825 0.81569343 0.82664234
 0.8120438  0.81021898 0.8229927  0.83211679]";95.55$\pm$0.73;"[0.96350365 0.95072993 0.95620438 0.96715328 0.95072993 0.94890511
 0.96167883 0.95072993 0.94343066 0.96167883]";86.2$\pm$1.2;"[0.85583942 0.8540146  0.87043796 0.86678832 0.8850365  0.85948905
 0.84306569 0.84671533 0.87043796 0.86861314]";82.17$\pm$1.86;"[0.8120438  0.84854015 0.83211679 0.82664234 0.79014599 0.8120438
 0.80109489 0.83941606 0.84489051 0.81021898]";65.51$\pm$4.28;"[0.68430657 0.70437956 0.6770073  0.64233577 0.63321168 0.62956204
 0.68248175 0.61678832 0.56751825 0.71350365]";80.58$\pm$1.13;"[0.77737226 0.81021898 0.8120438  0.8120438  0.79744526 0.81569343
 0.81021898 0.79927007 0.80656934 0.81751825]";84.2$\pm$0.93;"[0.82846715 0.8540146  0.84306569 0.85036496 0.83759124 0.83941606
 0.83576642 0.83941606 0.83211679 0.85948905]";98.89$\pm$0.56;"[0.99270073 0.98905109 0.99452555 0.99270073 0.99817518 0.98540146
 0.98540146 0.98905109 0.97810219 0.98357664]";85.77$\pm$1.25;"[0.83576642 0.87226277 0.85948905 0.86313869 0.84306569 0.87956204
 0.86313869 0.84671533 0.85766423 0.85583942]";82.81$\pm$1.51;"[0.80474453 0.83029197 0.85036496 0.84854015 0.81386861 0.80656934
 0.82664234 0.83211679 0.82846715 0.83941606]";93.8$\pm$0.93;"[0.95072993 0.92518248 0.93613139 0.94890511 0.9379562  0.94525547
 0.92153285 0.93065693 0.93978102 0.94343066]";92.45$\pm$1.21;"[0.90693431 0.93430657 0.93248175 0.93248175 0.90510949 0.91240876
 0.93065693 0.92518248 0.94343066 0.92153285]";85.26$\pm$1.71;"[0.82481752 0.85948905 0.87408759 0.87043796 0.83576642 0.82481752
 0.85036496 0.8649635  0.85948905 0.86131387]"
ROCAUC;94.19$\pm$0.72;"[0.94057688 0.94897837 0.94186558 0.94369705 0.94497909 0.92822606
 0.9419455  0.94888513 0.92973787 0.95025041]";87.07$\pm$1.35;"[0.84880987 0.88063429 0.88081411 0.88560259 0.84630574 0.861517
 0.87082756 0.86986187 0.87832996 0.88441712]";89.56$\pm$1.32;"[0.87250753 0.8968795  0.90729394 0.91151633 0.89982984 0.87397437
 0.88539613 0.90200264 0.89799004 0.90868919]";94.13$\pm$0.48;"[0.9323985  0.94901167 0.94465608 0.94153092 0.94262814 0.93816266
 0.93865217 0.93634783 0.94281794 0.94682389]";92.85$\pm$0.4;"[0.91818946 0.93330603 0.93009316 0.93178246 0.92787496 0.92716992
 0.93104235 0.92661053 0.92942507 0.92938908]";90.67$\pm$0.49;"[0.89666138 0.9108237  0.90515611 0.90685772 0.90557235 0.91369745
 0.89996803 0.90909212 0.90982471 0.90890897]";98.95$\pm$0.41;"[0.99678659 0.98954726 0.99532141 0.98860821 0.99110235 0.98385303
 0.99172838 0.98710973 0.98463557 0.98587098]";92.31$\pm$1.07;"[0.9165812  0.93302121 0.93566186 0.93456631 0.93678406 0.90668456
 0.91759684 0.90875579 0.91909865 0.92178925]";84.84$\pm$1.29;"[0.81798777 0.8547705  0.85880974 0.85640218 0.8337518  0.86120065
 0.84464409 0.84637234 0.85143721 0.85896958]";96.63$\pm$0.64;"[0.97580119 0.95906481 0.96625753 0.97449917 0.96296753 0.95876845
 0.97247456 0.96666045 0.95718339 0.96885489]";90.98$\pm$0.91;"[0.90752537 0.90903551 0.92003104 0.9176268  0.89188789 0.90158639
 0.91499614 0.89958842 0.92038401 0.91528584]";88.58$\pm$0.99;"[0.87888107 0.90538088 0.88911403 0.87145526 0.87734096 0.88777206
 0.8872376  0.87844484 0.88258565 0.89939028]";96.44$\pm$0.62;"[0.97001705 0.96352696 0.96411969 0.97300735 0.96000719 0.9540499
 0.9722681  0.96005048 0.95745644 0.96942099]";92.53$\pm$0.6;"[0.92034738 0.9309533  0.92830598 0.92406362 0.93231192 0.91724053
 0.92968459 0.91553559 0.93297792 0.92202901]";87.6$\pm$1.72;"[0.86329186 0.90591201 0.8834581  0.88210946 0.8518468  0.86047139
 0.85817372 0.8963184  0.89001146 0.86857651]";81.43$\pm$1.27;"[0.81967939 0.81566346 0.83496723 0.8074318  0.810199   0.80760829
 0.82697866 0.79382226 0.79827775 0.82875353]";86.46$\pm$1.1;"[0.84400141 0.86136715 0.87578587 0.86517995 0.85056143 0.8780902
 0.8628956  0.85936584 0.87002837 0.87880947]";90.45$\pm$0.69;"[0.89726744 0.90439355 0.91322127 0.90123009 0.89905895 0.90748042
 0.89752384 0.9082896  0.89816319 0.91856918]";98.7$\pm$0.47;"[0.99369972 0.98376645 0.99045634 0.98639046 0.99027319 0.9831604
 0.99170174 0.98661689 0.97669362 0.98682668]";92.09$\pm$0.75;"[0.91241209 0.93328427 0.92110328 0.92341094 0.91316799 0.93097994
 0.92342093 0.91331617 0.92623142 0.912169  ]";89.71$\pm$0.84;"[0.88372116 0.90343452 0.90058407 0.91356758 0.90354774 0.89506966
 0.8887827  0.90003463 0.88985994 0.89247729]";95.63$\pm$0.45;"[0.96045674 0.95343718 0.95381347 0.96282767 0.95481579 0.95647078
 0.95052347 0.9573732  0.94985082 0.96357691]";94.41$\pm$0.73;"[0.93808607 0.95384344 0.94480926 0.95435292 0.93774309 0.93497589
 0.94739331 0.93675742 0.95354374 0.93989757]";90.69$\pm$1.11;"[0.89137341 0.90624834 0.92288814 0.9113132  0.89724413 0.88737746
 0.90514945 0.91566879 0.9163481  0.91502611]"
AP;95.91$\pm$0.45;"[0.95634521 0.9632286  0.95910836 0.96201461 0.96037061 0.9517623
 0.95785829 0.96415762 0.95152535 0.96437772]";92.13$\pm$0.82;"[0.90715179 0.92744277 0.9274145  0.92981453 0.90794358 0.91562772
 0.92119672 0.91927522 0.92690337 0.93019083]";93.15$\pm$0.75;"[0.91970684 0.9348512  0.93947459 0.94056844 0.93227368 0.91674433
 0.92822656 0.93341874 0.93309173 0.93705767]";95.63$\pm$0.38;"[0.9489682  0.96023837 0.96139704 0.95511328 0.95586669 0.95404886
 0.95376242 0.95373835 0.95973444 0.96005172]";nan$\pm$nan;[];93.14$\pm$0.43;"[0.92227795 0.93126181 0.93439715 0.93098451 0.92972984 0.93550247
 0.92545741 0.93617032 0.93376887 0.93447466]";98.86$\pm$0.35;"[0.9924953  0.98591039 0.99590748 0.98792492 0.98684826 0.98482898
 0.99150438 0.98902391 0.98463632 0.98720318]";94.34$\pm$0.69;"[0.93864401 0.95097868 0.95329541 0.95055809 0.94957023 0.93295772
 0.94169407 0.93359099 0.94153702 0.94165948]";90.54$\pm$0.72;"[0.88861401 0.9102423  0.91355338 0.90863547 0.89754286 0.91142212
 0.90306446 0.90305394 0.9071538  0.91038453]";97.66$\pm$0.55;"[0.98182669 0.96611064 0.98020051 0.98130587 0.97464472 0.96908845
 0.98273828 0.97933314 0.97259651 0.97846433]";93.86$\pm$0.59;"[0.93747864 0.93899888 0.94262647 0.94232935 0.92670931 0.93196438
 0.94332973 0.93328865 0.94519775 0.94448611]";91.8$\pm$0.81;"[0.91422017 0.93159787 0.91864987 0.90763904 0.91476986 0.92282244
 0.91900488 0.92244731 0.90274986 0.92635541]";97.94$\pm$0.35;"[0.98269629 0.97810136 0.97968764 0.98406948 0.97587575 0.97449768
 0.98384047 0.97717599 0.97529886 0.98237941]";94.62$\pm$0.35;"[0.9417754  0.94968457 0.94952142 0.94572652 0.94930545 0.94086897
 0.94796919 0.94165496 0.95019196 0.94527845]";89.66$\pm$1.53;"[0.89777923 0.91660526 0.91086745 0.89122321 0.86675538 0.88010986
 0.8903536  0.91095367 0.91230032 0.88888028]";80.3$\pm$1.9;"[0.81082174 0.79787577 0.82463081 0.80366637 0.79784003 0.79365898
 0.82756211 0.7581897  0.79658753 0.81941803]";91.6$\pm$0.6;"[0.9037226  0.91678399 0.92152634 0.91689282 0.90894851 0.9227688
 0.91560688 0.91256143 0.91741439 0.92388566]";93.52$\pm$0.49;"[0.9283505  0.93263882 0.94111096 0.93535474 0.92927111 0.93714752
 0.93323637 0.93759764 0.93203766 0.9450282 ]";98.75$\pm$0.41;"[0.99285966 0.98135088 0.99193941 0.98546708 0.98760368 0.98501894
 0.99258618 0.98968201 0.98082031 0.98805488]";94.55$\pm$0.46;"[0.93860967 0.95261461 0.94638782 0.94780288 0.94035463 0.95105634
 0.94711583 0.94050742 0.94833064 0.94220762]";93.09$\pm$0.47;"[0.92321201 0.93336563 0.93596383 0.94033667 0.93182252 0.92748101
 0.92695671 0.93198179 0.92775512 0.93055382]";96.67$\pm$0.31;"[0.96893254 0.96237156 0.97037634 0.96716976 0.96565053 0.96456787
 0.96405257 0.96921501 0.96276623 0.97164463]";95.23$\pm$0.58;"[0.94936138 0.95612286 0.95675665 0.95939251 0.9566654  0.9453322
 0.94970524 0.94913939 0.95867962 0.94141994]";93.79$\pm$0.7;"[0.92769348 0.93582742 0.94818974 0.94123455 0.92965634 0.92762868
 0.93865835 0.94359686 0.94387216 0.9426044 ]"
pretrain_time;nan$\pm$nan;[];nan$\pm$nan;[];nan$\pm$nan;[];18.77$\pm$0.03;"[18.77490854 18.74458432 18.77381253 18.76456809 18.83624911 18.72615361
 18.79708958 18.765589   18.77555633 18.76377916]";;;1.43$\pm$0.06;"[1.37876678 1.3572495  1.34455371 1.34953094 1.47401476 1.49577928
 1.49149036 1.47426343 1.49120808 1.45534873]";54.59$\pm$0.88;"[54.53141022 53.6047442  56.00950122 53.80696225 55.16991329 55.51839304
 55.39101744 54.8432672  53.51670504 53.55490422]";32.38$\pm$0.06;"[32.42961645 32.38134575 32.38018918 32.35792899 32.4666059  32.41013575
 32.39260459 32.37615275 32.32826567 32.23959374]";1.08$\pm$0.04;"[1.10735703 1.04763794 1.04955959 1.08317208 1.14002061 1.05495811
 1.05836248 1.04335928 1.10375381 1.14954042]";60.17$\pm$1.16;"[59.06329465 60.43355823 60.71886396 60.31199718 61.00163174 62.04970574
 61.37454057 58.73270679 58.16771913 59.81481147]";78.54$\pm$0.3;"[78.36166048 79.29911423 78.39101529 78.36559844 78.70932078 78.34062004
 78.34613681 78.43644595 78.32214212 78.82816768]";55.43$\pm$1.01;"[54.59428835 54.35732365 54.60083842 54.54258251 54.95172    56.4241004
 57.13808799 54.77792835 56.08744717 56.81885695]";51.51$\pm$0.83;"[51.15320706 50.03287029 52.13819671 50.57836914 51.06409693 52.12763977
 52.37117076 52.49932384 52.29144144 50.85830688]";25.4$\pm$2.29;"[23.48137593 23.42718768 23.44679761 23.51207042 23.89212298 23.46082926
 28.17285228 28.19578028 28.23314857 28.21434546]";12.63$\pm$0.3;"[12.57192492 12.53546381 12.57381511 12.44574189 12.70038319 12.61478424
 13.09635067 13.23519039 12.33210611 12.24422669]";1.03$\pm$0.0;"[1.02840543 1.02873421 1.02757263 1.02831483 1.02869439 1.02204299
 1.02106762 1.03316307 1.01863527 1.02309394]";7.21$\pm$0.66;"[8.1674726  8.17459083 8.17027378 7.41544199 6.7354362  6.69267988
 6.69006491 6.69563794 6.700845   6.70266604]";106.46$\pm$1.09;"[108.04567218 106.45597577 106.44703984 105.00191522 107.6257813
 106.56223989 107.69623327 104.52034354 106.52237177 105.6773622 ]";63.16$\pm$0.73;"[64.49253035 63.44582367 63.85558534 63.52402091 63.03273869 62.82802176
 61.75701499 62.6945312  63.46154451 62.46597219]";63.12$\pm$0.15;"[63.09350681 63.11852598 63.08066893 63.01287055 63.55236578 63.11540031
 63.04549599 63.04233193 63.05810332 63.06867123]";153.26$\pm$2.28;"[156.51945472 151.27122664 153.51043296 153.25636411 155.87167215
 149.67513514 153.81187844 149.65633941 155.28059316 153.7173667 ]";17.21$\pm$0.61;"[17.79650784 16.57204843 17.85975552 16.64882994 17.16646361 16.58491111
 18.19273448 16.66806936 16.7650857  17.87373829]";34.57$\pm$2.79;"[33.51507473 33.55076241 33.47279358 33.53341866 42.88657308 33.5492394
 33.52078867 34.6761837  33.47795057 33.54022217]";17.61$\pm$0.44;"[18.11798    17.91372418 17.90750432 17.39129901 17.66495728 17.92628598
 17.69391513 17.74435258 16.58269978 17.1086452 ]"
