metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;67.47$\pm$2.66;"[0.69230769 0.69230769 0.7010989  0.64615385 0.65714286 0.69450549
 0.63516484 0.70549451 0.68791209 0.63516484]";76.31$\pm$3.18;"[0.77802198 0.78461538 0.82417582 0.78681319 0.73626374 0.71208791
 0.73626374 0.78241758 0.75164835 0.73846154]";55.74$\pm$2.07;"[0.55384615 0.53406593 0.57142857 0.56043956 0.55604396 0.56923077
 0.55824176 0.58681319 0.57362637 0.50989011]";70.02$\pm$5.68;"[0.72527473 0.66813187 0.75824176 0.66593407 0.77802198 0.69450549
 0.69230769 0.73406593 0.72087912 0.56483516]";86.48$\pm$4.42;"[0.88571429 0.8967033  0.91208791 0.87252747 0.87252747 0.87472527
 0.87692308 0.89230769 0.80659341 0.75824176]"
Hits@50;75.23$\pm$1.86;"[0.76263736 0.76483516 0.78021978 0.72747253 0.76043956 0.76483516
 0.71428571 0.75384615 0.75384615 0.74065934]";89.32$\pm$1.41;"[0.87252747 0.91648352 0.88571429 0.90989011 0.89450549 0.89010989
 0.88571429 0.90549451 0.8989011  0.87252747]";59.27$\pm$2.0;"[0.59120879 0.56923077 0.60879121 0.58681319 0.61538462 0.59120879
 0.58681319 0.60659341 0.61978022 0.55164835]";84.37$\pm$3.6;"[0.85934066 0.84175824 0.87032967 0.84835165 0.86373626 0.82857143
 0.82857143 0.89450549 0.85054945 0.75164835]";96.0$\pm$0.72;"[0.96043956 0.97142857 0.96263736 0.95384615 0.96703297 0.96483516
 0.95604396 0.96483516 0.94725275 0.95164835]"
Hits@100;83.71$\pm$2.01;"[0.84835165 0.85054945 0.87912088 0.80879121 0.85274725 0.82857143
 0.81318681 0.82417582 0.82637363 0.83956044]";94.53$\pm$0.9;"[0.94725275 0.94505495 0.94065934 0.95824176 0.94065934 0.96263736
 0.94505495 0.94505495 0.93846154 0.92967033]";64.31$\pm$1.81;"[0.64395604 0.61098901 0.67692308 0.63956044 0.64615385 0.64395604
 0.64835165 0.64615385 0.65934066 0.61538462]";91.98$\pm$1.94;"[0.94285714 0.8989011  0.92967033 0.94285714 0.93186813 0.8989011
 0.91208791 0.93406593 0.92307692 0.88351648]";98.2$\pm$0.45;"[0.98241758 0.98461538 0.97802198 0.98241758 0.98241758 0.99120879
 0.98461538 0.98241758 0.97362637 0.97802198]"
ROCAUC;90.12$\pm$1.11;"[0.91252747 0.90895302 0.91940587 0.87939621 0.90487622 0.89963531
 0.8885352  0.89776114 0.8959401  0.90535926]";95.47$\pm$0.38;"[0.9528656  0.95590871 0.96049269 0.96016906 0.95617921 0.95418911
 0.95046009 0.95749789 0.95089965 0.94873566]";77.48$\pm$1.11;"[0.78584229 0.75697621 0.77875136 0.77989132 0.7727714  0.79160971
 0.76854486 0.77862094 0.77955802 0.75536771]";94.0$\pm$0.96;"[0.94728173 0.93677575 0.9485666  0.94694361 0.94547518 0.93245743
 0.93865475 0.94743147 0.9405096  0.91572515]";97.37$\pm$0.5;"[0.97515276 0.97537012 0.97989132 0.97242362 0.97425915 0.97558749
 0.97386789 0.98002657 0.96734694 0.96282092]"
AP;92.04$\pm$0.83;"[0.9300761  0.92513969 0.93536565 0.9080525  0.9236222  0.92278078
 0.91128573 0.91913704 0.91737206 0.91138465]";95.7$\pm$0.57;"[0.95799526 0.9583012  0.96619281 0.96264366 0.96014132 0.95355103
 0.94901239 0.95997044 0.95522175 0.94686263]";83.2$\pm$1.06;"[0.84176    0.82131157 0.8445752  0.83072653 0.82922917 0.84605576
 0.82597221 0.83404871 0.83665615 0.81005428]";94.04$\pm$1.09;"[0.94533854 0.93933456 0.95380017 0.94685995 0.94480902 0.93731701
 0.93722124 0.94680718 0.94124807 0.91103483]";97.09$\pm$0.72;"[0.97503549 0.97272057 0.98287889 0.97049974 0.9731609  0.97001138
 0.97012144 0.97684817 0.96156667 0.95590496]"
pretrain_time;nan$\pm$nan;[];1.38$\pm$0.0;"[1.38594222 1.38084078 1.38456011 1.39115834 1.38418198 1.38255191
 1.38061285 1.38316679 1.38150311 1.39127994]";nan$\pm$nan;[];3.49$\pm$0.08;"[3.45736337 3.65546465 3.48430562 3.44069934 3.45902491 3.5577271
 3.55444217 3.40069294 3.39336944 3.53878665]";3.57$\pm$0.07;"[3.47936153 3.49509788 3.50230575 3.73845792 3.60655379 3.56985044
 3.56953144 3.56034803 3.56572318 3.57691598]"
