metrics;baseline,enc:gcn_bgrl,pred:inner_mean;baseline,enc:gcn_bgrl,pred:inner;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;baseline,enc:gcn_bgrl,pred:ncn_mean;baseline,enc:gcn_bgrl,pred:ncn;grace,enc:gcn_bgrl,pred:inner,random_mean;grace,enc:gcn_bgrl,pred:inner,random;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random;grace,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:ncn,random_mean;grace,enc:gcn_bgrl,pred:ncn,random;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random;bgrl,enc:gcn_bgrl,pred:inner,random_mean;bgrl,enc:gcn_bgrl,pred:inner,random;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;bgrl,enc:gcn_bgrl,pred:ncn,random_mean;bgrl,enc:gcn_bgrl,pred:ncn,random;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:inner,random_mean;lgrace,enc:gcn_bgrl,pred:inner,random;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:ncn,random_mean;lgrace,enc:gcn_bgrl,pred:ncn,random;lgrace,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:ncn,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:inner,random_mean;lbgrl,enc:gcn_bgrl,pred:inner,random
Hits@10;56.39$\pm$5.55;"[0.49004739 0.5971564  0.52227488 0.60189573 0.56492891 0.55545024
 0.56303318 0.62843602 0.6492891  0.46635071]";52.67$\pm$2.85;"[0.51753555 0.48436019 0.52606635 0.56018957 0.50236967 0.51469194
 0.5014218  0.54123223 0.58578199 0.53364929]";50.09$\pm$4.99;"[0.43601896 0.48056872 0.53270142 0.56113744 0.41137441 0.52796209
 0.50521327 0.52322275 0.56966825 0.46066351]";29.43$\pm$6.1;"[0.31374408 0.22843602 0.28909953 0.32796209 0.28436019 0.2436019
 0.31184834 0.44265403 0.21516588 0.28625592]";36.09$\pm$2.93;"[0.32132701 0.32037915 0.38199052 0.33838863 0.37251185 0.32890995
 0.38483412 0.38578199 0.4056872  0.36966825]";31.68$\pm$3.75;"[0.30521327 0.33554502 0.2549763  0.38293839 0.28815166 0.31469194
 0.32796209 0.36018957 0.26824645 0.32985782]";43.63$\pm$4.27;"[0.3943128  0.42180095 0.44834123 0.43317536 0.44265403 0.4957346
 0.40094787 0.52796209 0.39146919 0.40663507]";46.58$\pm$6.49;"[0.49763033 0.46445498 0.37819905 0.4985782  0.4436019  0.41137441
 0.39810427 0.59620853 0.54218009 0.42748815]";20.03$\pm$1.59;"[0.1971564  0.17725118 0.22748815 0.21137441 0.1971564  0.18483412
 0.18388626 0.22274882 0.19336493 0.20758294]";40.14$\pm$5.96;"[0.35450237 0.30331754 0.37725118 0.43886256 0.49668246 0.39810427
 0.40758294 0.4957346  0.40189573 0.34028436]";41.97$\pm$5.53;"[0.36303318 0.44170616 0.40758294 0.51469194 0.38104265 0.37251185
 0.32985782 0.47867299 0.4464455  0.46161137]";41.64$\pm$4.14;"[0.47677725 0.40379147 0.36587678 0.41895735 0.44834123 0.41800948
 0.34218009 0.38862559 0.47393365 0.42748815]";44.43$\pm$7.07;"[0.41042654 0.40094787 0.32701422 0.59905213 0.507109   0.46255924
 0.41990521 0.42464455 0.49004739 0.40094787]";33.62$\pm$2.47;"[0.30995261 0.31469194 0.31090047 0.36777251 0.34597156 0.34881517
 0.2985782  0.33554502 0.36303318 0.36682464]";25.52$\pm$2.46;"[0.23791469 0.24454976 0.23886256 0.30331754 0.23696682 0.26350711
 0.27582938 0.26729858 0.21232227 0.27109005]";35.44$\pm$5.54;"[0.34691943 0.32796209 0.32227488 0.36682464 0.33175355 0.38862559
 0.40853081 0.46445498 0.24549763 0.34123223]";45.35$\pm$3.91;"[0.47772512 0.41421801 0.42274882 0.47298578 0.39336493 0.49004739
 0.41042654 0.4464455  0.50236967 0.5042654 ]";44.59$\pm$3.39;"[0.41042654 0.44739336 0.48436019 0.40758294 0.42843602 0.43601896
 0.42654028 0.46635071 0.42938389 0.52227488]";42.34$\pm$4.97;"[0.43696682 0.43127962 0.50331754 0.3535545  0.38767773 0.43412322
 0.40853081 0.42938389 0.34881517 0.50047393]";49.24$\pm$2.93;"[0.46540284 0.48056872 0.47203791 0.507109   0.44549763 0.53175355
 0.47962085 0.48625592 0.5450237  0.51090047]";46.86$\pm$3.92;"[0.41421801 0.42938389 0.49194313 0.46066351 0.49952607 0.47677725
 0.41611374 0.5478673  0.48246445 0.46729858]";53.82$\pm$4.73;"[0.49478673 0.50805687 0.52890995 0.57535545 0.56682464 0.61895735
 0.51374408 0.49952607 0.60379147 0.47203791]";50.71$\pm$4.2;"[0.53933649 0.507109   0.49478673 0.55545024 0.48815166 0.43981043
 0.49952607 0.59241706 0.48436019 0.47014218]";40.39$\pm$4.92;"[0.35450237 0.40947867 0.4        0.42369668 0.39241706 0.41800948
 0.3943128  0.51279621 0.31090047 0.42274882]";39.61$\pm$5.05;"[0.32606635 0.37156398 0.37535545 0.46066351 0.49004739 0.41137441
 0.40947867 0.42654028 0.34028436 0.34976303]";52.24$\pm$4.06;"[0.48341232 0.54976303 0.53459716 0.51753555 0.50900474 0.54691943
 0.42559242 0.52511848 0.57345972 0.55829384]";52.63$\pm$4.22;"[0.4957346  0.55165877 0.56777251 0.5971564  0.47014218 0.53364929
 0.46445498 0.52606635 0.492891   0.56303318]";45.81$\pm$3.76;"[0.52037915 0.46445498 0.45687204 0.48909953 0.42085308 0.42843602
 0.42748815 0.40947867 0.51753555 0.4464455 ]";28.68$\pm$10.74;"[0.36113744 0.21895735 0.24265403 0.35924171 0.14691943 0.24834123
 0.2549763  0.52417062 0.34976303 0.16208531]";50.44$\pm$2.7;"[0.45308057 0.54407583 0.46919431 0.49383886 0.49099526 0.51469194
 0.50047393 0.52417062 0.53175355 0.52132701]";20.98$\pm$3.96;"[0.20758294 0.16777251 0.23222749 0.21421801 0.16872038 0.18672986
 0.23981043 0.29099526 0.23507109 0.15450237]";33.03$\pm$4.45;"[0.32417062 0.27867299 0.2957346  0.41232227 0.31184834 0.3042654
 0.3042654  0.41611374 0.33554502 0.32037915]"
Hits@20;66.15$\pm$2.83;"[0.61232227 0.66729858 0.69194313 0.68530806 0.63791469 0.67298578
 0.63981043 0.68815166 0.692891   0.62654028]";59.73$\pm$2.31;"[0.60094787 0.54976303 0.61516588 0.61800948 0.59905213 0.56777251
 0.57725118 0.61042654 0.62369668 0.61042654]";58.63$\pm$2.42;"[0.54881517 0.58672986 0.59052133 0.62369668 0.56492891 0.58293839
 0.57819905 0.58009479 0.63412322 0.57251185]";39.36$\pm$5.13;"[0.39810427 0.33175355 0.38862559 0.43696682 0.37061611 0.37345972
 0.39052133 0.52417062 0.34597156 0.37535545]";52.83$\pm$1.21;"[0.53649289 0.53744076 0.54597156 0.54597156 0.51943128 0.50900474
 0.51943128 0.53080569 0.51848341 0.52037915]";43.01$\pm$2.83;"[0.41800948 0.45876777 0.41611374 0.48056872 0.40094787 0.43127962
 0.39241706 0.45023697 0.39810427 0.4549763 ]";55.06$\pm$2.81;"[0.51184834 0.54123223 0.54218009 0.54691943 0.57156398 0.5507109
 0.51753555 0.61800948 0.56113744 0.5450237 ]";59.18$\pm$3.88;"[0.59146919 0.6        0.6056872  0.62180095 0.53838863 0.53554502
 0.56398104 0.66161137 0.63222749 0.56682464]";28.74$\pm$2.56;"[0.2492891  0.29004739 0.31374408 0.30331754 0.24170616 0.32037915
 0.28909953 0.31184834 0.28625592 0.26824645]";58.23$\pm$6.54;"[0.49952607 0.48151659 0.61421801 0.62274882 0.59052133 0.64454976
 0.61421801 0.67393365 0.5971564  0.48436019]";57.04$\pm$3.94;"[0.49952607 0.56018957 0.58767773 0.60379147 0.56966825 0.57345972
 0.51090047 0.6436019  0.57725118 0.57819905]";51.16$\pm$2.98;"[0.51848341 0.49004739 0.49099526 0.50900474 0.50805687 0.48436019
 0.46540284 0.54028436 0.57061611 0.53838863]";60.25$\pm$5.9;"[0.58199052 0.52132701 0.53649289 0.70236967 0.66919431 0.63412322
 0.57914692 0.66540284 0.58957346 0.5450237 ]";45.51$\pm$3.42;"[0.43981043 0.42748815 0.41516588 0.46919431 0.44739336 0.42180095
 0.45781991 0.53838863 0.45023697 0.48341232]";35.78$\pm$4.21;"[0.29099526 0.4        0.37345972 0.36492891 0.36777251 0.41421801
 0.34123223 0.4028436  0.28625592 0.33649289]";50.14$\pm$4.53;"[0.42180095 0.47962085 0.53459716 0.55260664 0.51563981 0.55545024
 0.48625592 0.5535545  0.4549763  0.45971564]";56.45$\pm$4.22;"[0.54407583 0.53554502 0.61800948 0.57630332 0.53838863 0.55165877
 0.47867299 0.58104265 0.63127962 0.58957346]";56.97$\pm$1.96;"[0.57535545 0.57440758 0.59526066 0.55165877 0.52037915 0.56587678
 0.57819905 0.58483412 0.57535545 0.57535545]";52.9$\pm$3.72;"[0.54407583 0.52227488 0.61137441 0.50521327 0.47867299 0.5478673
 0.54407583 0.53933649 0.47488152 0.52227488]";62.74$\pm$1.77;"[0.5971564  0.63317536 0.61895735 0.64265403 0.61137441 0.61137441
 0.65023697 0.62274882 0.65592417 0.63033175]";56.65$\pm$3.79;"[0.52796209 0.50236967 0.62654028 0.58199052 0.57345972 0.55829384
 0.53175355 0.61706161 0.59526066 0.5507109 ]";66.53$\pm$3.53;"[0.61516588 0.61990521 0.63981043 0.71753555 0.68815166 0.70805687
 0.66066351 0.68815166 0.68530806 0.63033175]";63.78$\pm$3.17;"[0.61990521 0.64549763 0.64739336 0.66919431 0.62559242 0.6028436
 0.58957346 0.67772512 0.61137441 0.68909953]";54.23$\pm$3.18;"[0.51848341 0.56018957 0.54123223 0.56872038 0.53364929 0.52322275
 0.50995261 0.59052133 0.49004739 0.58672986]";50.64$\pm$4.58;"[0.43981043 0.507109   0.48151659 0.54123223 0.58199052 0.4985782
 0.44739336 0.53649289 0.46824645 0.56208531]";60.98$\pm$2.07;"[0.57630332 0.59620853 0.63696682 0.62559242 0.58767773 0.61421801
 0.60094787 0.5943128  0.64075829 0.62464455]";63.18$\pm$3.16;"[0.6464455  0.64454976 0.66066351 0.67962085 0.56303318 0.64454976
 0.59810427 0.63317536 0.63696682 0.61137441]";55.2$\pm$3.63;"[0.57440758 0.5563981  0.53080569 0.61706161 0.52985782 0.56303318
 0.49099526 0.50521327 0.56398104 0.58862559]";50.64$\pm$7.83;"[0.53744076 0.52417062 0.55545024 0.56492891 0.36777251 0.42843602
 0.38767773 0.61800948 0.53270142 0.5478673 ]";59.59$\pm$1.83;"[0.59620853 0.63222749 0.6028436  0.59620853 0.56492891 0.59905213
 0.60189573 0.56587678 0.59620853 0.60379147]";34.64$\pm$8.26;"[0.28151659 0.292891   0.37061611 0.37061611 0.28720379 0.29478673
 0.34881517 0.56113744 0.38767773 0.26919431]";45.05$\pm$3.88;"[0.43507109 0.43317536 0.4549763  0.48815166 0.39052133 0.42748815
 0.41611374 0.53554502 0.47298578 0.45118483]"
Hits@50;77.59$\pm$1.41;"[0.75260664 0.77725118 0.78293839 0.77725118 0.78578199 0.76872038
 0.77156398 0.8028436  0.78483412 0.75545024]";67.73$\pm$1.34;"[0.67962085 0.6464455  0.68246445 0.68530806 0.67772512 0.66066351
 0.67488152 0.68246445 0.69478673 0.68909953]";69.4$\pm$2.0;"[0.68246445 0.65971564 0.72132701 0.70900474 0.70805687 0.67393365
 0.70236967 0.67014218 0.71563981 0.69763033]";57.42$\pm$2.89;"[0.5563981  0.53933649 0.59146919 0.56966825 0.56492891 0.56492891
 0.55924171 0.65118483 0.56303318 0.58199052]";58.84$\pm$1.03;"[0.58578199 0.59526066 0.58388626 0.5943128  0.60663507 0.58009479
 0.57914692 0.58767773 0.57061611 0.60094787]";60.13$\pm$2.85;"[0.56113744 0.61800948 0.6056872  0.6436019  0.58957346 0.61516588
 0.57440758 0.62843602 0.55450237 0.62274882]";72.6$\pm$2.61;"[0.71943128 0.71184834 0.78104265 0.73080569 0.68625592 0.71563981
 0.73175355 0.76018957 0.72132701 0.7014218 ]";74.09$\pm$2.0;"[0.73459716 0.75260664 0.73270142 0.75734597 0.73364929 0.692891
 0.7450237  0.76777251 0.73270142 0.75924171]";44.61$\pm$3.34;"[0.43222749 0.46066351 0.46729858 0.46540284 0.36113744 0.45118483
 0.44075829 0.48530806 0.47203791 0.42464455]";79.83$\pm$2.69;"[0.78293839 0.76966825 0.85118483 0.80379147 0.80473934 0.7971564
 0.78104265 0.83033175 0.80758294 0.75450237]";74.67$\pm$2.49;"[0.71563981 0.75450237 0.75924171 0.76872038 0.74407583 0.73080569
 0.71848341 0.80379147 0.73364929 0.73838863]";62.59$\pm$1.78;"[0.63033175 0.61706161 0.61706161 0.62748815 0.62843602 0.58767773
 0.61516588 0.63127962 0.65118483 0.65308057]";83.42$\pm$2.8;"[0.83601896 0.77914692 0.85876777 0.86635071 0.82559242 0.86161137
 0.82654028 0.86255924 0.82938389 0.79620853]";61.47$\pm$1.45;"[0.59052133 0.61516588 0.61800948 0.60663507 0.60189573 0.61516588
 0.61042654 0.6492891  0.61706161 0.62274882]";53.84$\pm$3.77;"[0.50995261 0.56777251 0.56018957 0.52227488 0.52606635 0.58578199
 0.50900474 0.58957346 0.46255924 0.5507109 ]";68.22$\pm$2.69;"[0.63412322 0.67014218 0.72511848 0.71658768 0.68056872 0.70805687
 0.65592417 0.69099526 0.67109005 0.66919431]";72.27$\pm$2.06;"[0.7014218  0.71374408 0.75260664 0.73175355 0.71469194 0.70236967
 0.70047393 0.71279621 0.76113744 0.73649289]";70.16$\pm$1.3;"[0.70331754 0.70331754 0.72701422 0.7014218  0.70521327 0.67109005
 0.70521327 0.707109   0.69763033 0.69478673]";66.12$\pm$2.96;"[0.66255924 0.69668246 0.71943128 0.64454976 0.66445498 0.65687204
 0.67488152 0.65308057 0.62748815 0.61232227]";75.9$\pm$1.12;"[0.7478673  0.74312796 0.76018957 0.76208531 0.75545024 0.7535545
 0.76872038 0.74881517 0.78293839 0.76682464]";71.44$\pm$1.69;"[0.69952607 0.71848341 0.72322275 0.72037915 0.70616114 0.71469194
 0.69952607 0.74691943 0.73080569 0.68436019]";84.68$\pm$2.34;"[0.83601896 0.82464455 0.87393365 0.87488152 0.83886256 0.84265403
 0.83127962 0.87203791 0.87014218 0.80379147]";77.16$\pm$2.28;"[0.7507109  0.78767773 0.79810427 0.79810427 0.75450237 0.75829384
 0.7507109  0.80853081 0.74312796 0.76587678]";71.3$\pm$3.19;"[0.71753555 0.74312796 0.71184834 0.70331754 0.68720379 0.707109
 0.69383886 0.77725118 0.65402844 0.73459716]";66.97$\pm$2.62;"[0.60947867 0.68625592 0.69478673 0.692891   0.7014218  0.66445498
 0.66161137 0.66729858 0.6436019  0.67488152]";72.81$\pm$1.59;"[0.70900474 0.70995261 0.73554502 0.75545024 0.70805687 0.73838863
 0.73838863 0.74123223 0.73175355 0.71279621]";75.83$\pm$1.57;"[0.75450237 0.75734597 0.77345972 0.77440758 0.75545024 0.73649289
 0.74597156 0.78957346 0.75545024 0.74028436]";66.14$\pm$3.31;"[0.68341232 0.67014218 0.6436019  0.70331754 0.66824645 0.6521327
 0.57535545 0.65592417 0.67962085 0.68246445]";73.57$\pm$2.05;"[0.70331754 0.73649289 0.76587678 0.74218009 0.74123223 0.74407583
 0.71279621 0.76966825 0.72037915 0.72132701]";70.04$\pm$1.17;"[0.69194313 0.72606635 0.71563981 0.7014218  0.6957346  0.7042654
 0.69004739 0.68530806 0.6957346  0.69763033]";77.26$\pm$4.23;"[0.71753555 0.74218009 0.80189573 0.80758294 0.76303318 0.80853081
 0.74691943 0.83507109 0.80189573 0.7014218 ]";63.84$\pm$3.71;"[0.61800948 0.63222749 0.65402844 0.62369668 0.56777251 0.66066351
 0.59526066 0.6985782  0.67772512 0.65592417]"
Hits@100;85.72$\pm$1.15;"[0.83886256 0.85402844 0.86729858 0.85308057 0.85023697 0.85023697
 0.86729858 0.88246445 0.85592417 0.8521327 ]";74.33$\pm$1.39;"[0.74407583 0.71658768 0.76682464 0.7507109  0.73554502 0.72701422
 0.74881517 0.73649289 0.7535545  0.7535545 ]";78.45$\pm$1.8;"[0.7971564  0.76208531 0.82180095 0.78578199 0.78957346 0.75450237
 0.78957346 0.78104265 0.79241706 0.77156398]";72.93$\pm$2.24;"[0.72606635 0.70331754 0.75545024 0.72985782 0.73270142 0.69194313
 0.71279621 0.76398104 0.75545024 0.72132701]";77.52$\pm$0.59;"[0.77690136 0.77236899 0.77667528 0.7731794  0.78288448 0.77681094
 0.76733586 0.7768334  0.7644235  0.78474068]";72.93$\pm$3.05;"[0.67109005 0.76966825 0.72322275 0.76966825 0.72417062 0.73080569
 0.69383886 0.75734597 0.70995261 0.74312796]";82.85$\pm$2.18;"[0.79146919 0.83791469 0.86919431 0.84454976 0.81611374 0.84075829
 0.81800948 0.8436019  0.8028436  0.82085308]";82.88$\pm$1.1;"[0.82274882 0.84549763 0.83033175 0.82938389 0.83222749 0.80379147
 0.83507109 0.83791469 0.83317536 0.81800948]";58.3$\pm$3.1;"[0.56398104 0.6056872  0.59336493 0.5943128  0.50521327 0.55734597
 0.59336493 0.60094787 0.61421801 0.60189573]";90.56$\pm$1.16;"[0.91184834 0.8957346  0.93175355 0.89383886 0.90331754 0.90900474
 0.88909953 0.91374408 0.907109   0.90047393]";85.03$\pm$1.25;"[0.83412322 0.83981043 0.85876777 0.87488152 0.85402844 0.83696682
 0.8436019  0.86445498 0.84265403 0.85402844]";72.03$\pm$2.5;"[0.71658768 0.70047393 0.6957346  0.70047393 0.74407583 0.68530806
 0.71469194 0.72985782 0.74976303 0.76587678]";92.42$\pm$0.78;"[0.94312796 0.91753555 0.92985782 0.92227488 0.92985782 0.92511848
 0.91753555 0.92037915 0.91658768 0.91943128]";73.74$\pm$1.92;"[0.70331754 0.73744076 0.75545024 0.73554502 0.72890995 0.71753555
 0.72701422 0.77440758 0.74218009 0.75260664]";68.06$\pm$2.47;"[0.67582938 0.70521327 0.71374408 0.67867299 0.63886256 0.69763033
 0.65971564 0.7042654  0.64454976 0.68720379]";80.93$\pm$1.45;"[0.78199052 0.82654028 0.82274882 0.82085308 0.80758294 0.81800948
 0.79526066 0.82369668 0.80094787 0.79526066]";81.53$\pm$1.53;"[0.7943128  0.8056872  0.83222749 0.83127962 0.81516588 0.8028436
 0.79526066 0.80947867 0.83696682 0.82938389]";79.27$\pm$2.09;"[0.78483412 0.7943128  0.8464455  0.8        0.79810427 0.76208531
 0.77725118 0.78104265 0.79241706 0.79052133]";75.98$\pm$1.59;"[0.73933649 0.78009479 0.78862559 0.76113744 0.75734597 0.76872038
 0.7507109  0.76777251 0.73933649 0.7450237 ]";85.18$\pm$0.79;"[0.86919431 0.85118483 0.8492891  0.85592417 0.83981043 0.85402844
 0.84454976 0.85308057 0.85687204 0.8436019 ]";80.82$\pm$1.17;"[0.79526066 0.80379147 0.81800948 0.80947867 0.78672986 0.8
 0.80663507 0.82464455 0.82464455 0.81232227]";92.79$\pm$0.9;"[0.93744076 0.90995261 0.94028436 0.92606635 0.93649289 0.92037915
 0.92796209 0.93459716 0.92132701 0.92417062]";85.33$\pm$1.29;"[0.8492891  0.84834123 0.85971564 0.86919431 0.84739336 0.83791469
 0.85971564 0.87393365 0.82938389 0.85781991]";84.07$\pm$1.93;"[0.83317536 0.8521327  0.85402844 0.82654028 0.81895735 0.81800948
 0.83981043 0.88720379 0.83601896 0.84075829]";78.07$\pm$0.86;"[0.78672986 0.78199052 0.78009479 0.78578199 0.79810427 0.77440758
 0.78578199 0.76682464 0.77630332 0.77061611]";80.82$\pm$1.05;"[0.79620853 0.8056872  0.83222749 0.80473934 0.7943128  0.81042654
 0.8056872  0.8056872  0.80663507 0.82085308]";83.01$\pm$1.12;"[0.83033175 0.8056872  0.84265403 0.83981043 0.82938389 0.82654028
 0.84265403 0.83981043 0.82464455 0.81990521]";74.62$\pm$1.8;"[0.76113744 0.7535545  0.73080569 0.76872038 0.73744076 0.74691943
 0.7042654  0.74028436 0.75924171 0.75924171]";82.92$\pm$1.53;"[0.82843602 0.81611374 0.83412322 0.83696682 0.83412322 0.83317536
 0.80758294 0.8549763  0.8028436  0.8436019 ]";78.71$\pm$1.22;"[0.79241706 0.79052133 0.81421801 0.76777251 0.79336493 0.78767773
 0.78957346 0.78009479 0.78388626 0.77156398]";89.05$\pm$1.59;"[0.86729858 0.89099526 0.91469194 0.90047393 0.892891   0.89099526
 0.89194313 0.907109   0.89004739 0.85876777]";77.85$\pm$2.64;"[0.75829384 0.76872038 0.79810427 0.77251185 0.75545024 0.76872038
 0.73649289 0.83317536 0.79810427 0.79526066]"
