metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@20;62.53$\pm$2.49;"[0.64945055 0.62087912 0.63736264 0.66153846 0.63846154 0.65274725
 0.5978022  0.60549451 0.6032967  0.58571429]";53.54$\pm$4.86;"[0.6        0.54395604 0.56593407 0.56483516 0.53846154 0.57912088
 0.42307692 0.48791209 0.54175824 0.50879121]";46.18$\pm$1.83;"[0.46813187 0.43076923 0.45604396 0.49120879 0.47912088 0.44725275
 0.45054945 0.48681319 0.45934066 0.44835165]";61.04$\pm$4.21;"[0.5978022  0.58021978 0.55384615 0.63846154 0.58791209 0.62417582
 0.58901099 0.61978022 0.71648352 0.5967033 ]";63.97$\pm$4.26;"[0.5956044  0.62857143 0.71208791 0.67142857 0.57802198 0.66593407
 0.62087912 0.68681319 0.64945055 0.58791209]"
Hits@50;71.6$\pm$2.29;"[0.75054945 0.7021978  0.72197802 0.75824176 0.72307692 0.71978022
 0.68571429 0.69340659 0.71208791 0.69340659]";71.2$\pm$3.43;"[0.74725275 0.6967033  0.67912088 0.76923077 0.68571429 0.73076923
 0.6967033  0.67472527 0.75934066 0.68021978]";50.19$\pm$1.56;"[0.52857143 0.47142857 0.48901099 0.51868132 0.50659341 0.5
 0.49230769 0.51538462 0.5021978  0.49450549]";76.37$\pm$3.33;"[0.72417582 0.77142857 0.74395604 0.78901099 0.79010989 0.77032967
 0.71758242 0.73626374 0.83296703 0.76153846]";89.97$\pm$2.81;"[0.86043956 0.91318681 0.90769231 0.89120879 0.94835165 0.91318681
 0.87252747 0.93406593 0.86043956 0.8956044 ]"
Hits@100;77.89$\pm$1.58;"[0.7989011  0.78021978 0.76373626 0.81208791 0.76483516 0.77802198
 0.75604396 0.77252747 0.78241758 0.78021978]";84.78$\pm$2.24;"[0.83846154 0.81868132 0.84285714 0.87802198 0.84615385 0.88131868
 0.84175824 0.82967033 0.87912088 0.82197802]";53.44$\pm$1.36;"[0.55164835 0.52197802 0.51538462 0.55494505 0.54615385 0.52637363
 0.53076923 0.54615385 0.53186813 0.51868132]";86.64$\pm$2.12;"[0.85384615 0.86263736 0.87142857 0.88131868 0.88021978 0.86923077
 0.81428571 0.86043956 0.9        0.87032967]";96.01$\pm$0.76;"[0.95934066 0.95824176 0.96153846 0.95384615 0.96813187 0.96263736
 0.95274725 0.97362637 0.94615385 0.96483516]"
ROCAUC;90.05$\pm$0.51;"[0.90491487 0.89972588 0.89710707 0.91257095 0.89354003 0.89622992
 0.89786741 0.89868856 0.90216879 0.90206859]";94.39$\pm$0.56;"[0.94758725 0.93878155 0.94328631 0.95238619 0.94471622 0.95022582
 0.93509963 0.93844584 0.94929097 0.93934549]";73.75$\pm$1.17;"[0.75175945 0.71960995 0.72972957 0.7474363  0.74374351 0.73484
 0.73469025 0.75677334 0.73517934 0.72164956]";94.78$\pm$0.52;"[0.94606569 0.94708972 0.946392   0.95049632 0.95166948 0.9494904
 0.93639295 0.94543413 0.95795645 0.94732762]";97.11$\pm$0.35;"[0.97050477 0.96778046 0.97012053 0.97180896 0.97333353 0.97413114
 0.96828282 0.97820553 0.96529213 0.971274  ]"
AP;92.21$\pm$0.51;"[0.92785565 0.91811634 0.92131582 0.9342006  0.91898948 0.92041992
 0.91547104 0.92212729 0.92335325 0.91906923]";94.05$\pm$0.76;"[0.94599824 0.93846557 0.93898195 0.95117616 0.94083249 0.94710315
 0.92453067 0.93352591 0.94802406 0.93636209]";80.32$\pm$0.83;"[0.81487248 0.78948089 0.79882428 0.80978059 0.80908282 0.7981596
 0.8010068  0.81460111 0.80277685 0.7930642 ]";94.77$\pm$0.65;"[0.94789305 0.94819459 0.9425969  0.9534626  0.9486413  0.94740834
 0.93424494 0.94546255 0.96117715 0.94786541]";96.69$\pm$0.34;"[0.96328998 0.96575249 0.96627959 0.96623418 0.96770417 0.97151768
 0.96459858 0.97435296 0.96295415 0.96622424]"
pretrain_time;nan$\pm$nan;[];11.77$\pm$0.04;"[11.81451249 11.8102982  11.72047448 11.77963471 11.74732828 11.8062315
 11.76922989 11.79671073 11.71038032 11.72724724]";nan$\pm$nan;[];3.36$\pm$0.06;"[3.31499314 3.31062198 3.41420507 3.35365391 3.33157849 3.41115093
 3.45534158 3.39595962 3.26399255 3.31845903]";20.08$\pm$0.16;"[20.15239239 20.18115759 19.83886385 20.03811264 20.01065421 20.14829969
 19.81376886 20.26754713 20.05365229 20.3034904 ]"
