metrics;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random
Hits@10;78.02$\pm$1.98;"[0.76941176 0.79764706 0.78117647 0.79529412 0.76235294 0.77647059
 0.75529412 0.82588235 0.76941176 0.76941176]";77.11$\pm$2.99;"[0.77176471 0.79529412 0.71764706 0.77882353 0.75294118 0.74588235
 0.75294118 0.83294118 0.78823529 0.77411765]";30.19$\pm$5.18;"[0.29176471 0.32941176 0.31058824 0.24705882 0.28705882 0.28470588
 0.29882353 0.43764706 0.29176471 0.24      ]";67.11$\pm$6.51;"[0.71764706 0.74823529 0.57176471 0.75294118 0.64       0.68235294
 0.68235294 0.73176471 0.58117647 0.60235294]";73.98$\pm$2.55;"[0.71529412 0.72470588 0.72235294 0.75529412 0.75058824 0.76235294
 0.75294118 0.69647059 0.72941176 0.78823529]"
Hits@20;84.71$\pm$2.68;"[0.87058824 0.88       0.83058824 0.84941176 0.82588235 0.82352941
 0.80705882 0.88941176 0.82588235 0.86823529]";84.31$\pm$2.59;"[0.84705882 0.84       0.82117647 0.85647059 0.81882353 0.84
 0.84       0.90823529 0.80941176 0.84941176]";46.94$\pm$3.99;"[0.44       0.48941176 0.48705882 0.41647059 0.43764706 0.42823529
 0.49647059 0.53411765 0.52470588 0.44      ]";77.18$\pm$4.1;"[0.80470588 0.80235294 0.72941176 0.82352941 0.75294118 0.75529412
 0.73176471 0.83529412 0.70823529 0.77411765]";80.78$\pm$2.65;"[0.80470588 0.82352941 0.76470588 0.83294118 0.78588235 0.81882353
 0.81176471 0.82352941 0.76470588 0.84705882]"
Hits@50;91.44$\pm$1.89;"[0.92941176 0.92941176 0.90588235 0.92470588 0.89411765 0.88941176
 0.89176471 0.93411765 0.90117647 0.94352941]";90.89$\pm$1.81;"[0.91529412 0.92       0.89411765 0.91764706 0.88470588 0.88941176
 0.91294118 0.92705882 0.88705882 0.94117647]";63.98$\pm$3.23;"[0.61882353 0.64470588 0.63058824 0.62352941 0.63529412 0.61176471
 0.67764706 0.71294118 0.64705882 0.59529412]";85.58$\pm$3.43;"[0.89647059 0.87529412 0.84470588 0.87764706 0.80470588 0.83058824
 0.83058824 0.90352941 0.80941176 0.88470588]";91.29$\pm$2.03;"[0.91764706 0.91529412 0.90823529 0.92       0.90352941 0.87764706
 0.89411765 0.93411765 0.90352941 0.95529412]"
Hits@100;95.06$\pm$1.05;"[0.95764706 0.94352941 0.95058824 0.96       0.94117647 0.93882353
 0.96235294 0.95764706 0.93176471 0.96235294]";93.46$\pm$1.43;"[0.95294118 0.93882353 0.93176471 0.93411765 0.92       0.92705882
 0.94352941 0.94117647 0.90352941 0.95294118]";78.38$\pm$1.54;"[0.78656886 0.80111834 0.77953385 0.76814095 0.7781909  0.76452318
 0.79897891 0.80905744 0.79010657 0.76164146]";91.44$\pm$1.67;"[0.94117647 0.92       0.90588235 0.92235294 0.89882353 0.90352941
 0.90117647 0.93411765 0.88705882 0.92941176]";96.82$\pm$1.29;"[0.98588235 0.97882353 0.96       0.97176471 0.96470588 0.94352941
 0.95294118 0.96941176 0.96941176 0.98588235]"
ROCAUC;95.86$\pm$0.76;"[0.96185467 0.96506021 0.9554273  0.96150943 0.95128746 0.9543474
 0.95620977 0.96813287 0.94340761 0.96877311]";94.09$\pm$1.04;"[0.95145744 0.95123599 0.93220311 0.94213651 0.93738624 0.92919031
 0.94334073 0.94899931 0.92043183 0.95305322]";77.14$\pm$1.7;"[0.76905168 0.77344156 0.77013279 0.75285041 0.77258538 0.75687388
 0.79479003 0.80504899 0.77272292 0.74615563]";92.61$\pm$1.45;"[0.94703391 0.9397481  0.91625971 0.93491121 0.91006659 0.92323875
 0.91481132 0.94390035 0.90211765 0.92890196]";96.35$\pm$0.65;"[0.96729135 0.97023668 0.95814095 0.96982242 0.960899   0.95721522
 0.95405105 0.96160554 0.96002768 0.97540616]"
AP;96.64$\pm$0.47;"[0.96799857 0.97077076 0.96351047 0.96880664 0.96338231 0.96203463
 0.96308935 0.97238218 0.95870387 0.97349926]";95.82$\pm$0.75;"[0.96410857 0.96487878 0.95203493 0.96066668 0.95679027 0.9486947
 0.95979745 0.96522299 0.94320347 0.96675594]";nan$\pm$nan;[];94.18$\pm$1.12;"[0.95769727 0.95066854 0.93005935 0.95306639 0.9294272  0.93923705
 0.93550263 0.95453021 0.92469469 0.94278485]";96.57$\pm$0.64;"[0.96862959 0.97103307 0.96270297 0.97240582 0.96489803 0.95874841
 0.95572793 0.96309706 0.96173962 0.97773716]"
pretrain_time;nan$\pm$nan;[];68.02$\pm$0.06;"[67.96538377 68.03536868 68.00793076 68.08704066 68.09472251 68.00755692
 67.92160869 67.94213057 68.11741567 68.03230357]";;;8.15$\pm$0.07;"[8.13685632 8.12114501 8.08284974 8.10203934 8.13055515 8.11501074
 8.17256713 8.34751391 8.18417501 8.09937072]";53.26$\pm$0.15;"[53.18604088 53.62888479 53.17489433 53.28637338 53.06530213 53.20356011
 53.27801752 53.21700025 53.14376473 53.42772722]"
