metrics;baseline,enc:gcn_bgrl,pred:inner_mean;baseline,enc:gcn_bgrl,pred:inner;baseline,enc:gcn_bgrl,pred:mlp_mean;baseline,enc:gcn_bgrl,pred:mlp;baseline,enc:gcn_bgrl,pred:ncn_mean;baseline,enc:gcn_bgrl,pred:ncn;grace,enc:gcn_bgrl,pred:inner,random_mean;grace,enc:gcn_bgrl,pred:inner,random;louvain_prob_pred_mean;louvain_prob_pred;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast+random;grace,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:mlp,random_mean;grace,enc:gcn_bgrl,pred:mlp,random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;grace,enc:gcn_bgrl,pred:ncn,random_mean;grace,enc:gcn_bgrl,pred:ncn,random;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast+random;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random_mean;grace,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random;bgrl,enc:gcn_bgrl,pred:inner,random_mean;bgrl,enc:gcn_bgrl,pred:inner,random;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random;bgrl,enc:gcn_bgrl,pred:mlp,random_mean;bgrl,enc:gcn_bgrl,pred:mlp,random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;bgrl,enc:gcn_bgrl,pred:ncn,random_mean;bgrl,enc:gcn_bgrl,pred:ncn,random;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random_mean;bgrl,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:inner,random_mean;lgrace,enc:gcn_bgrl,pred:inner,random;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:mlp,random_mean;lgrace,enc:gcn_bgrl,pred:mlp,random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lgrace,enc:gcn_bgrl,pred:ncn,random_mean;lgrace,enc:gcn_bgrl,pred:ncn,random;lgrace,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;lgrace,enc:gcn_bgrl,pred:ncn,sbm_fast+random;lgrace,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random_mean;lgrace,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:inner,random_mean;lbgrl,enc:gcn_bgrl,pred:inner,random;lbgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:inner,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:inner,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:mlp,random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:mlp,sbm_fast_cheat+random;lbgrl,enc:gcn_bgrl,pred:ncn,random_mean;lbgrl,enc:gcn_bgrl,pred:ncn,random;lbgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random_mean;lbgrl,enc:gcn_bgrl,pred:ncn,sbm_fast+random;lbgrl,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random_mean;lbgrl,enc:gcn_bgrl,pred:ncn,sbm_fast_cheat+random
Hits@10;66.38$\pm$7.25;"[0.71916509 0.72865275 0.66034156 0.74003795 0.69449715 0.54079696
 0.61859583 0.71347249 0.69259962 0.52941176]";63.13$\pm$5.4;"[0.64326376 0.63377609 0.64136622 0.67931689 0.60341556 0.54648956
 0.66982922 0.55028463 0.61290323 0.73244782]";16.85$\pm$11.86;"[0.25426945 0.09297913 0.05882353 0.04174573 0.02656546 0.10815939
 0.38709677 0.14421252 0.28273245 0.28842505]";27.31$\pm$7.89;"[0.33206831 0.18406072 0.21062619 0.31499051 0.24478178 0.22390892
 0.37571157 0.24288425 0.42125237 0.18026565]";50.3$\pm$5.74;"[0.46110057 0.44402277 0.50474383 0.47248577 0.59203036 0.43643264
 0.5483871  0.60151803 0.45351044 0.51612903]";25.28$\pm$4.19;"[0.19165085 0.22201139 0.25616698 0.34724858 0.27514231 0.22201139
 0.23149905 0.24288425 0.24288425 0.29601518]";48.98$\pm$7.3;"[0.49335863 0.5142315  0.43074004 0.55597723 0.45540797 0.4288425
 0.61100569 0.49525617 0.56356736 0.34914611]";62.41$\pm$5.31;"[0.60341556 0.64516129 0.54459203 0.69829222 0.56356736 0.5597723
 0.68690702 0.61290323 0.64705882 0.67931689]";53.98$\pm$6.25;"[0.50474383 0.5256167  0.50094877 0.58254269 0.48766603 0.48956357
 0.62808349 0.61859583 0.61669829 0.44402277]";49.96$\pm$10.24;"[0.51612903 0.41745731 0.42125237 0.51233397 0.52371917 0.56166983
 0.74003795 0.33776091 0.51802657 0.44781784]";60.82$\pm$4.54;"[0.64326376 0.67362429 0.65844402 0.61100569 0.5426945  0.59013283
 0.64516129 0.52941176 0.59582543 0.59203036]";58.1$\pm$2.96;"[0.57495256 0.5426945  0.54648956 0.61859583 0.59203036 0.5483871
 0.61669829 0.62618596 0.5711575  0.57305503]";55.98$\pm$3.46;"[0.55218216 0.59203036 0.52182163 0.60531309 0.51802657 0.5256167
 0.58823529 0.59203036 0.58633776 0.51612903]";50.13$\pm$6.28;"[0.49525617 0.50094877 0.55028463 0.59772296 0.47817837 0.48956357
 0.53510436 0.40796964 0.56925996 0.38899431]";47.27$\pm$5.41;"[0.51612903 0.47248577 0.5028463  0.4686907  0.4459203  0.47817837
 0.54459203 0.48197343 0.4857685  0.33017078]";42.14$\pm$6.97;"[0.46679317 0.33776091 0.31499051 0.37571157 0.42694497 0.49335863
 0.5142315  0.42694497 0.50664137 0.35104364]";57.72$\pm$6.32;"[0.5142315  0.56736243 0.63946869 0.67172676 0.44781784 0.62428843
 0.59392789 0.60341556 0.58823529 0.52182163]";47.12$\pm$4.56;"[0.4857685  0.45351044 0.39468691 0.56166983 0.40417457 0.45920304
 0.47628083 0.4800759  0.4971537  0.49905123]";59.92$\pm$7.35;"[0.5540797  0.61669829 0.46110057 0.64326376 0.53510436 0.69449715
 0.72106262 0.62808349 0.57495256 0.56356736]";64.02$\pm$4.31;"[0.52941176 0.65654649 0.61669829 0.62049336 0.69259962 0.66603416
 0.64895636 0.67931689 0.64136622 0.65085389]";56.57$\pm$4.05;"[0.5256167  0.55218216 0.5597723  0.61669829 0.58823529 0.47628083
 0.61100569 0.58444023 0.5483871  0.59392789]";61.92$\pm$5.56;"[0.63946869 0.59392789 0.59013283 0.66413662 0.64136622 0.61100569
 0.71916509 0.61290323 0.62808349 0.4914611 ]";53.3$\pm$3.68;"[0.50094877 0.4971537  0.4800759  0.52941176 0.50094877 0.55028463
 0.55597723 0.57874763 0.59962049 0.5370019 ]";38.24$\pm$7.59;"[0.47817837 0.34724858 0.26565465 0.42125237 0.34914611 0.32447818
 0.5028463  0.45540797 0.38519924 0.29411765]";46.43$\pm$5.73;"[0.5654649  0.4800759  0.4800759  0.41176471 0.46110057 0.44971537
 0.5370019  0.45920304 0.4516129  0.34724858]";61.29$\pm$4.89;"[0.5597723  0.56925996 0.62618596 0.65654649 0.60910816 0.58823529
 0.68690702 0.5256167  0.65654649 0.65085389]";51.21$\pm$5.03;"[0.52751423 0.58444023 0.48387097 0.5483871  0.4288425  0.48766603
 0.57685009 0.4459203  0.4914611  0.54648956]";61.48$\pm$4.95;"[0.60721063 0.53320683 0.63567362 0.64895636 0.5370019  0.57685009
 0.69639469 0.63567362 0.62239089 0.65464896]";67.65$\pm$5.39;"[0.60910816 0.68880455 0.71916509 0.73624288 0.64136622 0.61480076
 0.73624288 0.59013283 0.71347249 0.71537002]";58.52$\pm$3.65;"[0.58254269 0.58823529 0.63757116 0.57495256 0.54648956 0.5085389
 0.62618596 0.60721063 0.61100569 0.56925996]";65.48$\pm$4.59;"[0.60721063 0.64895636 0.65275142 0.67172676 0.57685009 0.63377609
 0.74193548 0.63946869 0.65654649 0.71916509]";58.9$\pm$4.99;"[0.59013283 0.5711575  0.62239089 0.62049336 0.5256167  0.65275142
 0.65654649 0.49525617 0.59772296 0.55787476]";45.9$\pm$4.08;"[0.39089184 0.47058824 0.44781784 0.4971537  0.41935484 0.50474383
 0.52941176 0.43263757 0.4686907  0.4288425 ]";19.45$\pm$4.09;"[0.14611006 0.14800759 0.13472486 0.25237192 0.21062619 0.20113852
 0.24667932 0.23529412 0.17077799 0.19924099]";58.22$\pm$3.97;"[0.57874763 0.60531309 0.5483871  0.58823529 0.59392789 0.5426945
 0.67741935 0.52941176 0.59392789 0.56356736]";47.86$\pm$4.29;"[0.44212524 0.51043643 0.55218216 0.4971537  0.45351044 0.43643264
 0.52751423 0.40607211 0.4686907  0.4914611 ]";55.28$\pm$5.9;"[0.59582543 0.56925996 0.57874763 0.55218216 0.41935484 0.57305503
 0.64705882 0.48766603 0.53320683 0.5711575 ]";59.66$\pm$4.3;"[0.5256167  0.63187856 0.58823529 0.58823529 0.55218216 0.5540797
 0.66603416 0.58633776 0.64516129 0.62808349]";56.19$\pm$4.18;"[0.51043643 0.54459203 0.5597723  0.60910816 0.51043643 0.52371917
 0.62998102 0.59772296 0.53320683 0.59962049]";52.33$\pm$2.91;"[0.52182163 0.52941176 0.52941176 0.50094877 0.57685009 0.46489564
 0.5483871  0.5370019  0.49525617 0.52941176]"
Hits@20;75.9$\pm$4.46;"[0.75901328 0.82542694 0.75332068 0.81404175 0.77988615 0.68690702
 0.74573055 0.78747628 0.75521822 0.68311195]";72.77$\pm$3.5;"[0.72675522 0.74193548 0.72485769 0.74383302 0.73055028 0.67362429
 0.76850095 0.65844402 0.73244782 0.77609108]";22.18$\pm$12.65;"[0.30170778 0.15180266 0.11574953 0.09108159 0.0512334  0.16698292
 0.44971537 0.18595825 0.32827324 0.37571157]";39.3$\pm$6.85;"[0.41555977 0.28273245 0.29411765 0.45540797 0.33206831 0.40227704
 0.4686907  0.35673624 0.47628083 0.4459203 ]";64.36$\pm$2.31;"[0.67362429 0.63567362 0.64516129 0.61669829 0.65654649 0.59962049
 0.65275142 0.67931689 0.62998102 0.64705882]";37.12$\pm$5.57;"[0.41176471 0.26185958 0.36432638 0.4516129  0.37001898 0.29601518
 0.35483871 0.36053131 0.42504744 0.41555977]";63.95$\pm$6.11;"[0.67741935 0.59772296 0.58254269 0.75142315 0.61859583 0.70398482
 0.69829222 0.59582543 0.61859583 0.55028463]";73.64$\pm$2.31;"[0.73244782 0.71347249 0.71916509 0.77609108 0.72296015 0.69829222
 0.74383302 0.76470588 0.73624288 0.75711575]";67.46$\pm$3.32;"[0.60910816 0.69070209 0.67362429 0.71537002 0.65275142 0.65275142
 0.73055028 0.65844402 0.69449715 0.66793169]";72.05$\pm$6.2;"[0.65275142 0.70588235 0.71726755 0.72485769 0.78178368 0.78557875
 0.82352941 0.59962049 0.70208729 0.71157495]";72.6$\pm$3.13;"[0.71347249 0.74762808 0.72296015 0.75332068 0.65275142 0.69639469
 0.74003795 0.72485769 0.74003795 0.76850095]";68.75$\pm$2.86;"[0.65275142 0.63946869 0.69829222 0.68311195 0.69829222 0.66034156
 0.72865275 0.69829222 0.68500949 0.73055028]";69.07$\pm$2.92;"[0.69449715 0.66034156 0.66603416 0.72865275 0.65654649 0.69639469
 0.70588235 0.74573055 0.65844402 0.69449715]";62.9$\pm$3.88;"[0.59392789 0.66603416 0.65085389 0.65654649 0.60151803 0.59392789
 0.66034156 0.55597723 0.68311195 0.62808349]";58.37$\pm$3.1;"[0.61100569 0.53510436 0.57305503 0.5711575  0.57305503 0.61480076
 0.61480076 0.59203036 0.62049336 0.5313093 ]";56.03$\pm$4.08;"[0.57305503 0.53510436 0.54079696 0.4743833  0.54459203 0.61480076
 0.58633776 0.57305503 0.62049336 0.54079696]";69.96$\pm$3.95;"[0.61480076 0.67931689 0.70967742 0.74952562 0.70588235 0.73244782
 0.74193548 0.70018975 0.65085389 0.71157495]";60.49$\pm$3.44;"[0.59962049 0.57305503 0.58444023 0.61100569 0.53889943 0.59203036
 0.66603416 0.63377609 0.61100569 0.63946869]";73.72$\pm$4.45;"[0.66223909 0.70398482 0.72485769 0.75711575 0.73244782 0.81214421
 0.81024668 0.74573055 0.72106262 0.70208729]";75.6$\pm$3.84;"[0.69639469 0.75332068 0.75901328 0.71537002 0.83681214 0.73244782
 0.76470588 0.77039848 0.73434535 0.79696395]";65.54$\pm$4.75;"[0.58823529 0.63757116 0.65654649 0.67172676 0.68311195 0.5654649
 0.73055028 0.70777989 0.64516129 0.66793169]";78.8$\pm$3.36;"[0.78557875 0.81783681 0.79316888 0.81024668 0.78557875 0.77419355
 0.83870968 0.77988615 0.70398482 0.79127135]";66.74$\pm$4.14;"[0.62618596 0.61290323 0.63377609 0.63377609 0.68311195 0.64895636
 0.68121442 0.75142315 0.69449715 0.70777989]";53.59$\pm$4.6;"[0.59582543 0.54648956 0.4459203  0.53510436 0.53320683 0.4971537
 0.57305503 0.60151803 0.54079696 0.48956357]";65.62$\pm$4.59;"[0.69639469 0.68880455 0.55218216 0.66413662 0.68690702 0.63946869
 0.68690702 0.69070209 0.66413662 0.59203036]";74.57$\pm$3.37;"[0.70777989 0.74003795 0.75332068 0.76280835 0.76280835 0.73055028
 0.81214421 0.68500949 0.73055028 0.77229602]";61.25$\pm$3.72;"[0.61669829 0.63187856 0.60910816 0.64136622 0.57305503 0.56925996
 0.67172676 0.54648956 0.61669829 0.64895636]";71.94$\pm$2.79;"[0.72675522 0.66223909 0.69449715 0.72296015 0.71726755 0.69259962
 0.74952562 0.72675522 0.74003795 0.76091082]";76.17$\pm$3.66;"[0.72485769 0.73624288 0.77609108 0.79886148 0.73244782 0.68690702
 0.79506641 0.78557875 0.79506641 0.78557875]";69.94$\pm$2.08;"[0.71537002 0.68690702 0.73814042 0.70018975 0.65844402 0.67741935
 0.70777989 0.71157495 0.70398482 0.69449715]";73.21$\pm$3.29;"[0.68690702 0.74383302 0.75901328 0.74762808 0.68880455 0.70208729
 0.79506641 0.72296015 0.71726755 0.75711575]";72.58$\pm$2.02;"[0.73055028 0.70967742 0.73055028 0.75711575 0.70967742 0.72106262
 0.75332068 0.71537002 0.68880455 0.74193548]";55.24$\pm$3.69;"[0.5426945  0.50664137 0.52941176 0.56736243 0.5085389  0.57685009
 0.63946869 0.54648956 0.5370019  0.56925996]";28.48$\pm$4.8;"[0.22011385 0.20493359 0.27514231 0.35863378 0.29411765 0.29222011
 0.31878558 0.35294118 0.25426945 0.27703985]";67.12$\pm$1.74;"[0.65844402 0.65844402 0.67552182 0.65844402 0.66793169 0.65844402
 0.71916509 0.67552182 0.66793169 0.67172676]";59.39$\pm$3.61;"[0.56925996 0.60531309 0.60721063 0.60151803 0.51043643 0.56356736
 0.61100569 0.61859583 0.60151803 0.65085389]";67.34$\pm$2.1;"[0.66223909 0.66034156 0.66793169 0.72485769 0.66034156 0.66034156
 0.68121442 0.64895636 0.67362429 0.69449715]";70.72$\pm$3.16;"[0.70208729 0.70967742 0.70588235 0.67362429 0.64705882 0.68690702
 0.76091082 0.73814042 0.70967742 0.73814042]";64.78$\pm$3.94;"[0.59962049 0.63187856 0.62428843 0.67362429 0.65085389 0.59772296
 0.72106262 0.65275142 0.62239089 0.70398482]";60.85$\pm$3.79;"[0.58633776 0.60341556 0.63377609 0.63377609 0.68121442 0.53510436
 0.62049336 0.57685009 0.58823529 0.62618596]"
Hits@50;85.29$\pm$2.6;"[0.83870968 0.88804554 0.83491461 0.85958254 0.87476281 0.79696395
 0.84440228 0.88804554 0.84819734 0.85578748]";83.17$\pm$1.71;"[0.83301708 0.83111954 0.81593928 0.81214421 0.83681214 0.80455408
 0.85009488 0.82542694 0.84440228 0.86337761]";35.2$\pm$13.69;"[0.47628083 0.25616698 0.23149905 0.21062619 0.12713472 0.36812144
 0.54079696 0.33017078 0.44781784 0.5313093 ]";62.05$\pm$7.2;"[0.58064516 0.45540797 0.56736243 0.70967742 0.62049336 0.61290323
 0.66223909 0.61480076 0.70777989 0.67362429]";70.74$\pm$2.1;"[0.72296015 0.71916509 0.71347249 0.68311195 0.73244782 0.66034156
 0.70588235 0.73055028 0.70208729 0.70398482]";56.45$\pm$7.81;"[0.59772296 0.42125237 0.57495256 0.66413662 0.61669829 0.47248577
 0.49525617 0.52182163 0.64136622 0.63946869]";81.69$\pm$2.85;"[0.80265655 0.77609108 0.82732448 0.87666034 0.79886148 0.85388994
 0.82163188 0.81783681 0.79127135 0.80265655]";83.87$\pm$1.44;"[0.84629981 0.82163188 0.84250474 0.84440228 0.83681214 0.81024668
 0.84250474 0.85768501 0.82732448 0.85768501]";83.17$\pm$2.0;"[0.80645161 0.81024668 0.81214421 0.83870968 0.84250474 0.80645161
 0.85578748 0.83491461 0.85009488 0.85958254]";88.65$\pm$1.35;"[0.86337761 0.87666034 0.87476281 0.87666034 0.87855787 0.89943074
 0.89563567 0.90702087 0.89373814 0.89943074]";85.26$\pm$1.57;"[0.83301708 0.83491461 0.86148008 0.87286528 0.84819734 0.83681214
 0.84250474 0.85768501 0.85578748 0.88235294]";82.01$\pm$2.66;"[0.80834915 0.75332068 0.84440228 0.82542694 0.84060721 0.80645161
 0.85199241 0.81593928 0.81973435 0.83491461]";84.31$\pm$2.24;"[0.85578748 0.82352941 0.82163188 0.84819734 0.81214421 0.84440228
 0.87476281 0.84060721 0.82542694 0.88425047]";78.8$\pm$1.95;"[0.78178368 0.80645161 0.77609108 0.81214421 0.75142315 0.77419355
 0.79316888 0.78937381 0.77609108 0.81973435]";74.57$\pm$1.88;"[0.73055028 0.72865275 0.74762808 0.76660342 0.73814042 0.71157495
 0.76470588 0.77039848 0.76280835 0.73624288]";75.62$\pm$2.23;"[0.75711575 0.73055028 0.73434535 0.73055028 0.78937381 0.76850095
 0.79696395 0.74573055 0.74573055 0.76280835]";85.46$\pm$2.06;"[0.83111954 0.83111954 0.86907021 0.85388994 0.85009488 0.81783681
 0.88045541 0.86907021 0.86527514 0.87855787]";75.18$\pm$2.16;"[0.74573055 0.71537002 0.73055028 0.78178368 0.75142315 0.72865275
 0.77798861 0.75901328 0.74952562 0.77798861]";87.89$\pm$1.42;"[0.88045541 0.85388994 0.85958254 0.88614801 0.86907021 0.90322581
 0.89184061 0.87476281 0.88425047 0.88614801]";87.74$\pm$1.64;"[0.86907021 0.86337761 0.88614801 0.89753321 0.88994307 0.84060721
 0.87286528 0.88804554 0.87286528 0.89373814]";81.33$\pm$2.58;"[0.80075901 0.80075901 0.81024668 0.84629981 0.80834915 0.77039848
 0.86148008 0.83301708 0.78747628 0.81404175]";92.26$\pm$1.0;"[0.92409867 0.91271347 0.90702087 0.92979127 0.9373814  0.91271347
 0.93358634 0.9259962  0.91271347 0.92979127]";83.93$\pm$3.04;"[0.84250474 0.79506641 0.84250474 0.88235294 0.84819734 0.78747628
 0.87666034 0.86717268 0.81783681 0.83301708]";74.4$\pm$4.09;"[0.77988615 0.72296015 0.74383302 0.76470588 0.76850095 0.64136622
 0.76280835 0.78937381 0.71347249 0.75332068]";84.84$\pm$1.94;"[0.85578748 0.84440228 0.83491461 0.88614801 0.84060721 0.83111954
 0.86527514 0.86717268 0.81593928 0.84250474]";85.01$\pm$2.15;"[0.85958254 0.82542694 0.86148008 0.85958254 0.88235294 0.80455408
 0.86907021 0.83681214 0.84629981 0.85578748]";76.32$\pm$2.15;"[0.78178368 0.74193548 0.77988615 0.75901328 0.74762808 0.74193548
 0.79506641 0.77609108 0.72675522 0.78178368]";83.24$\pm$1.79;"[0.81973435 0.79696395 0.84819734 0.83111954 0.83870968 0.80645161
 0.84060721 0.84629981 0.84250474 0.85388994]";84.16$\pm$1.64;"[0.83681214 0.81783681 0.84060721 0.86337761 0.85199241 0.80645161
 0.85388994 0.84819734 0.85009488 0.84629981]";82.71$\pm$1.35;"[0.82163188 0.83111954 0.83491461 0.83870968 0.81783681 0.79316888
 0.83681214 0.84250474 0.82732448 0.82732448]";84.97$\pm$1.97;"[0.80455408 0.85199241 0.84060721 0.87476281 0.85388994 0.83681214
 0.86907021 0.85768501 0.83870968 0.86907021]";85.73$\pm$1.68;"[0.84060721 0.84440228 0.82352941 0.86907021 0.87476281 0.85578748
 0.86527514 0.85768501 0.85768501 0.88425047]";71.2$\pm$2.35;"[0.70777989 0.67552182 0.70398482 0.74952562 0.69070209 0.69639469
 0.75332068 0.71537002 0.72485769 0.70208729]";46.19$\pm$5.24;"[0.36432638 0.38519924 0.46110057 0.5028463  0.47248577 0.4345351
 0.5483871  0.49905123 0.48766603 0.4629981 ]";79.09$\pm$1.7;"[0.78178368 0.80455408 0.79696395 0.77988615 0.76660342 0.76470588
 0.81214421 0.80645161 0.81214421 0.78368121]";76.49$\pm$2.57;"[0.75332068 0.77039848 0.79316888 0.77229602 0.74762808 0.70588235
 0.80455408 0.77798861 0.76660342 0.75711575]";79.35$\pm$2.49;"[0.77798861 0.78178368 0.76660342 0.81593928 0.76850095 0.75901328
 0.80645161 0.80455408 0.81783681 0.83681214]";83.17$\pm$1.8;"[0.81024668 0.81214421 0.82922201 0.86907021 0.81593928 0.82352941
 0.84060721 0.85578748 0.82732448 0.83301708]";75.54$\pm$2.58;"[0.73055028 0.70967742 0.75901328 0.75711575 0.76850095 0.73244782
 0.79316888 0.74762808 0.75901328 0.79696395]";70.63$\pm$2.96;"[0.69829222 0.71537002 0.73055028 0.70588235 0.76470588 0.64326376
 0.69449715 0.69070209 0.69829222 0.72106262]"
