metrics;SBM_GRACE+MLP;SBM_BGRL+MLP;graceGCN+mlp;GRACE+mlp;BGRL+mlp
Hits@10;15.07$\pm$5.17;14.36$\pm$5.34;13.41$\pm$3.5;14.36$\pm$4.87;14.76$\pm$4.67
Hits@20;27.16$\pm$7.19;30.17$\pm$8.77;29.19$\pm$5.41;26.49$\pm$7.45;27.03$\pm$4.06
Hits@50;62.77$\pm$10.31;77.97$\pm$10.33;66.18$\pm$5.49;63.38$\pm$6.19;60.44$\pm$5.97
Hits@100;84.83$\pm$6.18;92.84$\pm$1.74;85.98$\pm$2.98;83.58$\pm$3.5;78.65$\pm$3.64
ROCAUC;81.13$\pm$3.38;85.69$\pm$2.22;82.3$\pm$1.8;80.68$\pm$2.55;78.19$\pm$2.22
pretrain_time;112.52$\pm$9.49;112.93$\pm$6.67;nan$\pm$nan;12.58$\pm$0.33;14.52$\pm$0.59
