metrics;Citeseer GCN+NCN;Citeseer GCN+MLP;Citeseer GRACE+NCN;Citeseer GRACE+MLP;Citeseer GCA_deg+NCN;Citeseer GCA_deg+MLP;Citeseer GCA_pr+NCN;Citeseer GCA_pr+MLP;Citeseer GCA_evc+NCN;Citeseer GCA_evc+MLP;Citeseer BGRL+NCN;Citeseer BGRL+MLP;Citeseer BGRL_deg+NCN;Citeseer BGRL_deg+MLP;Citeseer BGRL_pr+NCN;Citeseer BGRL_pr+MLP;Citeseer BGRL_evc+NCN;Citeseer BGRL_evc+MLP;Citeseer CSGCL+NCN;Citeseer CSGCL+MLP;Citeseer BGRL_cs+NCN;Citeseer BGRL_cs+MLP
Hits@10;31.38$\pm$1.32;9.05$\pm$1.72;32.18$\pm$1.78;10.99$\pm$1.49;32.31$\pm$1.41;9.95$\pm$3.82;32.12$\pm$1.64;8.26$\pm$4.33;31.05$\pm$1.37;8.34$\pm$4.42;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;31.77$\pm$1.8;7.84$\pm$4.21;0.0$\pm$0.0;0.0$\pm$0.0
Hits@20;33.66$\pm$1.09;12.47$\pm$1.13;34.92$\pm$1.55;15.27$\pm$1.39;35.02$\pm$1.07;13.31$\pm$4.77;34.48$\pm$0.92;11.69$\pm$5.89;34.04$\pm$1.43;11.13$\pm$5.81;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;34.48$\pm$1.77;11.65$\pm$6.07;0.0$\pm$0.0;0.0$\pm$0.0
Hits@50;39.26$\pm$1.03;20.23$\pm$1.22;39.75$\pm$1.24;22.66$\pm$1.21;40.33$\pm$0.7;20.0$\pm$6.78;39.97$\pm$1.01;17.93$\pm$9.01;39.21$\pm$1.31;17.44$\pm$8.76;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;39.65$\pm$1.64;17.6$\pm$8.87;0.0$\pm$0.0;0.0$\pm$0.0
Hits@100;44.65$\pm$1.05;27.78$\pm$1.17;45.12$\pm$1.73;30.78$\pm$1.85;45.74$\pm$1.3;27.51$\pm$9.41;45.56$\pm$1.59;24.31$\pm$12.27;44.43$\pm$1.37;24.08$\pm$12.07;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;0.0$\pm$0.0;45.2$\pm$1.89;23.74$\pm$12.0;0.0$\pm$0.0;0.0$\pm$0.0
ROCAUC;72.44$\pm$0.96;62.53$\pm$1.22;72.78$\pm$1.42;65.27$\pm$1.4;73.14$\pm$0.95;63.28$\pm$4.65;72.88$\pm$0.96;61.79$\pm$5.98;72.23$\pm$0.82;61.51$\pm$5.82;50.0$\pm$0.0;50.0$\pm$0.0;50.0$\pm$0.0;50.0$\pm$0.0;50.0$\pm$0.0;50.0$\pm$0.0;50.0$\pm$0.0;50.0$\pm$0.0;72.56$\pm$1.38;61.61$\pm$6.02;50.0$\pm$0.0;50.0$\pm$0.0
