metrics;Cora GCN+NCN;Cora GCN+MLP;Cora GRACE+NCN;Cora GRACE+MLP;Cora GCA_deg+NCN;Cora GCA_deg+MLP;Cora GCA_pr+NCN;Cora GCA_pr+MLP;Cora GCA_evc+NCN;Cora GCA_evc+MLP;Cora BGRL+NCN;Cora BGRL+MLP;Cora BGRL_deg+NCN;Cora BGRL_deg+MLP;Cora BGRL_pr+NCN;Cora BGRL_pr+MLP;Cora BGRL_evc+NCN;Cora BGRL_evc+MLP;Cora CSGCL+NCN;Cora CSGCL+MLP;Cora BGRL_cs+NCN;Cora BGRL_cs+MLP
Hits@10;49.36$\pm$3.67;32.64$\pm$6.09;45.43$\pm$5.22;45.98$\pm$2.79;41.13$\pm$2.31;37.62$\pm$6.46;41.13$\pm$3.29;36.93$\pm$3.21;43.89$\pm$3.96;37.12$\pm$3.7;49.12$\pm$4.93;47.45$\pm$3.72;47.33$\pm$6.19;41.86$\pm$5.33;46.58$\pm$5.45;42.43$\pm$6.39;48.07$\pm$3.99;42.3$\pm$4.91;47.31$\pm$4.25;47.69$\pm$6.21;48.22$\pm$3.17;48.0$\pm$3.82
Hits@20;59.48$\pm$2.05;46.88$\pm$3.68;57.05$\pm$4.0;58.52$\pm$2.28;50.72$\pm$3.58;51.63$\pm$5.84;49.34$\pm$3.61;50.81$\pm$3.63;54.22$\pm$3.45;50.86$\pm$3.58;57.93$\pm$3.98;57.68$\pm$2.94;56.96$\pm$4.61;54.5$\pm$5.04;57.03$\pm$3.33;53.36$\pm$3.59;58.08$\pm$4.2;53.09$\pm$3.32;59.43$\pm$3.58;59.51$\pm$5.11;58.31$\pm$3.14;58.0$\pm$2.24
Hits@50;74.68$\pm$1.65;65.53$\pm$3.89;73.47$\pm$2.04;74.29$\pm$2.03;68.8$\pm$2.46;68.81$\pm$1.73;67.52$\pm$3.67;69.13$\pm$2.46;71.4$\pm$2.48;71.07$\pm$1.37;69.75$\pm$2.49;69.7$\pm$2.83;70.13$\pm$2.24;67.93$\pm$2.69;69.95$\pm$1.92;68.43$\pm$1.62;70.66$\pm$2.24;68.12$\pm$2.55;74.96$\pm$1.76;75.02$\pm$1.65;70.62$\pm$1.95;70.21$\pm$1.42
Hits@100;84.29$\pm$1.16;79.29$\pm$2.13;83.44$\pm$0.98;82.3$\pm$1.59;81.1$\pm$1.41;80.62$\pm$1.4;80.38$\pm$0.88;80.31$\pm$0.82;82.39$\pm$0.97;80.52$\pm$1.08;77.15$\pm$1.31;77.87$\pm$1.33;78.93$\pm$1.65;78.21$\pm$1.95;78.79$\pm$1.92;78.1$\pm$1.39;78.82$\pm$1.58;77.38$\pm$1.55;84.76$\pm$1.05;83.24$\pm$0.57;78.42$\pm$1.44;78.59$\pm$1.17
ROCAUC;94.59$\pm$0.33;92.74$\pm$0.6;93.83$\pm$0.42;92.48$\pm$0.58;93.21$\pm$0.38;92.06$\pm$0.59;93.01$\pm$0.48;91.94$\pm$0.47;93.51$\pm$0.25;92.14$\pm$0.51;90.81$\pm$0.7;90.21$\pm$0.68;91.44$\pm$0.63;91.41$\pm$0.5;91.41$\pm$0.61;91.44$\pm$0.56;91.23$\pm$0.58;91.1$\pm$0.43;94.31$\pm$0.27;93.01$\pm$0.33;91.41$\pm$0.6;90.9$\pm$0.59
pretrain_time;nan$\pm$nan;nan$\pm$nan;26.53$\pm$0.42;26.45$\pm$0.26;27.11$\pm$0.63;27.26$\pm$0.44;27.08$\pm$0.51;27.18$\pm$0.53;27.26$\pm$0.58;27.37$\pm$0.66;18.0$\pm$0.5;18.24$\pm$0.65;18.6$\pm$0.78;18.43$\pm$0.37;18.54$\pm$0.35;18.45$\pm$0.66;18.63$\pm$0.53;18.01$\pm$0.55;29.39$\pm$0.79;29.25$\pm$0.81;19.81$\pm$0.46;19.38$\pm$0.45
