metrics;Citeseer GCN+NCN;Citeseer GCN+MLP;Citeseer GRACE+NCN;Citeseer GRACE+MLP;Citeseer GCA_deg+NCN;Citeseer GCA_deg+MLP;Citeseer GCA_pr+NCN;Citeseer GCA_pr+MLP;Citeseer GCA_evc+NCN;Citeseer GCA_evc+MLP;Citeseer BGRL+NCN;Citeseer BGRL+MLP;Citeseer BGRL_deg+NCN;Citeseer BGRL_deg+MLP;Citeseer BGRL_pr+NCN;Citeseer BGRL_pr+MLP;Citeseer BGRL_evc+NCN;Citeseer BGRL_evc+MLP;Citeseer CSGCL+NCN;Citeseer CSGCL+MLP;Citeseer BGRL_cs+NCN;Citeseer BGRL_cs+MLP
Hits@10;69.45$\pm$4.93;70.07$\pm$4.62;59.05$\pm$2.76;59.0$\pm$3.93;56.21$\pm$6.0;53.75$\pm$8.25;58.54$\pm$3.07;57.71$\pm$2.88;58.82$\pm$2.42;59.32$\pm$2.39;70.65$\pm$2.74;67.81$\pm$1.65;69.52$\pm$5.03;66.51$\pm$4.81;70.57$\pm$2.63;69.51$\pm$1.99;70.78$\pm$3.08;67.33$\pm$2.87;60.01$\pm$4.28;60.04$\pm$4.38;70.08$\pm$1.99;66.71$\pm$2.26
Hits@20;78.29$\pm$3.76;78.02$\pm$2.69;66.42$\pm$1.75;66.45$\pm$2.23;64.51$\pm$5.01;62.29$\pm$5.22;65.35$\pm$2.64;64.69$\pm$2.21;66.64$\pm$2.01;64.84$\pm$1.98;75.03$\pm$1.85;72.18$\pm$1.81;74.58$\pm$3.54;71.87$\pm$3.17;75.96$\pm$2.53;72.8$\pm$2.32;74.92$\pm$2.64;71.36$\pm$2.49;66.56$\pm$2.12;66.55$\pm$2.77;74.78$\pm$1.48;71.66$\pm$1.59
Hits@50;87.3$\pm$1.82;86.21$\pm$1.05;75.03$\pm$1.86;74.02$\pm$1.53;77.44$\pm$3.17;75.25$\pm$4.27;75.14$\pm$2.17;73.73$\pm$1.37;74.62$\pm$1.94;72.66$\pm$1.27;80.44$\pm$1.32;78.18$\pm$1.3;80.13$\pm$2.84;76.81$\pm$2.76;81.07$\pm$2.06;78.0$\pm$1.47;80.42$\pm$1.53;76.9$\pm$2.12;75.69$\pm$1.95;74.23$\pm$2.11;80.57$\pm$1.51;77.76$\pm$1.93
Hits@100;92.58$\pm$0.97;91.67$\pm$0.71;82.24$\pm$1.89;80.89$\pm$0.93;84.22$\pm$3.55;82.89$\pm$3.76;82.05$\pm$1.59;80.55$\pm$1.2;81.32$\pm$1.14;79.88$\pm$1.32;84.78$\pm$1.35;82.89$\pm$1.14;84.85$\pm$2.14;81.62$\pm$2.37;85.36$\pm$1.91;82.73$\pm$1.68;84.91$\pm$1.33;82.16$\pm$1.81;81.95$\pm$1.5;81.04$\pm$1.75;85.16$\pm$1.66;82.58$\pm$2.06
ROCAUC;96.94$\pm$0.38;96.93$\pm$0.35;92.21$\pm$0.91;92.32$\pm$0.52;93.1$\pm$1.29;92.91$\pm$1.2;92.04$\pm$0.69;91.87$\pm$0.63;91.91$\pm$0.61;91.92$\pm$0.71;92.97$\pm$0.62;92.48$\pm$0.72;92.19$\pm$1.77;90.98$\pm$2.74;93.21$\pm$1.02;92.63$\pm$0.76;93.03$\pm$0.83;92.2$\pm$0.91;92.28$\pm$0.94;92.46$\pm$0.56;93.11$\pm$0.94;92.46$\pm$0.82
