metrics;graceGCN+mlp;02: graceGCN+mlp;05: graceGCN+mlp;08: graceGCN+mlp
Hits@10;15.03$\pm$2.53;74.94$\pm$1.47;72.7$\pm$1.95;73.23$\pm$1.1
Hits@20;23.13$\pm$1.8;77.19$\pm$1.05;75.87$\pm$1.51;75.68$\pm$0.86
Hits@50;36.82$\pm$2.27;81.77$\pm$0.79;80.23$\pm$1.63;80.21$\pm$1.28
Hits@100;49.74$\pm$2.65;85.16$\pm$0.73;83.84$\pm$1.08;83.76$\pm$0.98
ROCAUC;77.97$\pm$1.65;93.35$\pm$0.47;92.64$\pm$0.52;92.55$\pm$0.59
pretrain_time;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan
