metrics;Cora GCN+NCN;Cora GCN+MLP;Cora GRACE+NCN;Cora GRACE+MLP;Cora GCA_deg+NCN;Cora GCA_deg+MLP;Cora GCA_pr+NCN;Cora GCA_pr+MLP;Cora GCA_evc+NCN;Cora GCA_evc+MLP;Cora BGRL+NCN;Cora BGRL+MLP;Cora BGRL_deg+NCN;Cora BGRL_deg+MLP;Cora BGRL_pr+NCN;Cora BGRL_pr+MLP;Cora BGRL_evc+NCN;Cora BGRL_evc+MLP;Cora CSGCL+NCN;Cora CSGCL+MLP;Cora BGRL_cs+NCN;Cora BGRL_cs+MLP
Hits@10;46.71$\pm$3.08;41.55$\pm$4.1;46.73$\pm$2.55;43.52$\pm$4.16;40.06$\pm$3.81;39.59$\pm$4.72;47.15$\pm$2.35;41.36$\pm$3.35;47.42$\pm$3.88;41.84$\pm$2.76;37.3$\pm$1.68;36.13$\pm$1.95;37.58$\pm$2.37;31.56$\pm$3.01;37.27$\pm$1.62;36.08$\pm$1.4;36.55$\pm$1.98;36.61$\pm$1.78;46.07$\pm$2.15;41.73$\pm$3.15;36.5$\pm$0.6;36.68$\pm$1.2
Hits@20;54.07$\pm$2.27;51.41$\pm$3.13;52.99$\pm$1.07;49.87$\pm$2.01;48.58$\pm$3.38;48.57$\pm$2.83;52.66$\pm$1.78;48.28$\pm$2.13;53.13$\pm$1.75;48.16$\pm$2.44;40.66$\pm$1.53;39.94$\pm$1.53;42.83$\pm$1.29;38.99$\pm$2.37;41.02$\pm$1.46;39.98$\pm$1.67;40.47$\pm$1.72;39.62$\pm$2.46;51.33$\pm$1.03;47.77$\pm$1.22;40.3$\pm$1.2;39.18$\pm$1.05
Hits@50;61.59$\pm$1.48;60.82$\pm$1.47;58.17$\pm$1.02;57.13$\pm$1.34;57.84$\pm$1.91;58.08$\pm$1.58;58.11$\pm$0.96;55.51$\pm$1.48;58.6$\pm$1.39;56.35$\pm$1.94;45.27$\pm$0.91;43.28$\pm$1.46;49.87$\pm$1.22;48.34$\pm$1.49;45.91$\pm$1.03;44.16$\pm$1.43;45.79$\pm$1.99;43.85$\pm$2.07;56.6$\pm$1.39;53.84$\pm$1.18;45.42$\pm$1.44;43.62$\pm$0.98
Hits@100;66.33$\pm$1.79;65.38$\pm$1.03;62.19$\pm$1.64;61.55$\pm$0.86;63.36$\pm$1.82;63.61$\pm$1.5;62.18$\pm$1.44;60.07$\pm$1.33;62.41$\pm$1.36;61.18$\pm$1.22;50.0$\pm$0.91;47.01$\pm$1.04;56.01$\pm$1.08;54.95$\pm$1.12;50.91$\pm$0.87;47.8$\pm$1.72;51.03$\pm$1.76;48.95$\pm$2.52;60.86$\pm$1.47;58.51$\pm$1.43;50.46$\pm$1.95;48.11$\pm$1.09
ROCAUC;78.46$\pm$0.96;77.7$\pm$0.86;78.85$\pm$2.39;76.63$\pm$0.86;77.8$\pm$1.2;79.97$\pm$1.45;78.09$\pm$1.42;74.9$\pm$0.84;78.37$\pm$1.58;74.91$\pm$0.88;74.19$\pm$1.24;68.55$\pm$1.05;76.81$\pm$0.81;75.68$\pm$1.12;72.43$\pm$0.8;68.62$\pm$0.76;72.67$\pm$1.2;69.91$\pm$1.33;79.33$\pm$1.04;77.65$\pm$0.9;74.46$\pm$0.94;71.17$\pm$0.72
pretrain_time;nan$\pm$nan;nan$\pm$nan;46.47$\pm$4.35;43.9$\pm$3.6;42.11$\pm$4.11;41.9$\pm$4.54;43.09$\pm$4.32;37.16$\pm$2.63;40.4$\pm$2.45;35.62$\pm$3.47;23.39$\pm$0.82;23.39$\pm$0.83;22.93$\pm$0.65;23.1$\pm$1.04;24.43$\pm$2.16;26.37$\pm$1.59;26.0$\pm$1.78;25.42$\pm$1.88;41.1$\pm$2.49;43.99$\pm$6.68;24.72$\pm$0.71;23.11$\pm$1.58
