metrics;SBM_GRACE+Inner;SBM_BGRL+Inner;SBM_CSGCL+inner;SBM_CSGCL2+inner;GCN+inner;GRACE+inner;GCA_deg+inner;GCA_pr+inner;GCA_evc+inner;BGRL+inner;BGRL_deg+inner;BGRL_pr+inner;BGRL_evc+inner;CSGCL+inner;BGRL_cs+inner
Hits@10;3.19$\pm$2.35;52.84$\pm$5.88;3.58$\pm$1.52;2.99$\pm$1.12;52.55$\pm$10.45;5.83$\pm$5.16;6.57$\pm$3.32;3.38$\pm$2.7;10.18$\pm$3.53;10.41$\pm$12.1;21.57$\pm$13.6;8.69$\pm$10.83;15.76$\pm$11.22;3.39$\pm$1.65;3.03$\pm$1.94
Hits@20;9.13$\pm$6.58;63.36$\pm$1.76;8.69$\pm$4.0;6.61$\pm$2.71;74.48$\pm$3.93;14.43$\pm$9.66;14.59$\pm$4.97;9.02$\pm$5.72;18.63$\pm$5.77;17.21$\pm$14.55;37.45$\pm$21.67;14.21$\pm$14.35;26.96$\pm$15.43;8.67$\pm$4.11;6.66$\pm$6.68
Hits@50;45.61$\pm$16.78;63.78$\pm$1.63;44.72$\pm$17.16;41.31$\pm$13.39;95.61$\pm$2.3;57.32$\pm$15.46;71.25$\pm$24.19;54.69$\pm$16.96;80.63$\pm$21.16;29.11$\pm$16.11;74.56$\pm$34.64;20.35$\pm$15.41;73.1$\pm$31.48;34.06$\pm$5.85;14.15$\pm$12.35
Hits@100;99.82$\pm$0.22;64.17$\pm$1.6;99.85$\pm$0.11;96.51$\pm$9.42;99.85$\pm$0.11;96.42$\pm$2.63;96.83$\pm$3.87;96.61$\pm$4.83;99.39$\pm$0.63;39.13$\pm$13.83;82.32$\pm$35.19;31.22$\pm$11.15;85.77$\pm$27.76;93.67$\pm$5.97;21.66$\pm$14.74
ROCAUC;91.11$\pm$1.11;77.56$\pm$2.22;90.97$\pm$0.82;90.35$\pm$1.18;97.25$\pm$0.22;90.95$\pm$1.54;92.03$\pm$1.83;90.81$\pm$1.21;93.07$\pm$1.37;71.58$\pm$4.16;88.73$\pm$13.58;66.23$\pm$4.43;89.32$\pm$10.83;88.49$\pm$1.14;65.24$\pm$3.53
pretrain_time;54.04$\pm$3.41;50.25$\pm$2.89;146.14$\pm$3.99;77.24$\pm$4.38;nan$\pm$nan;7.93$\pm$0.55;8.47$\pm$0.4;7.97$\pm$0.8;8.35$\pm$0.33;5.81$\pm$0.3;5.9$\pm$0.33;6.16$\pm$0.42;6.2$\pm$0.35;9.54$\pm$0.25;6.47$\pm$0.42
