metrics;graceGCN+mlp;02: graceGCN+mlp;05: graceGCN+mlp;08: graceGCN+mlp
Hits@10;2.89$\pm$1.24;19.83$\pm$6.38;23.69$\pm$4.09;19.81$\pm$3.88
Hits@20;7.41$\pm$1.64;36.47$\pm$7.04;34.5$\pm$5.46;27.46$\pm$4.46
Hits@50;19.5$\pm$2.03;60.17$\pm$3.11;47.65$\pm$4.02;39.98$\pm$2.67
Hits@100;37.63$\pm$3.21;70.26$\pm$1.56;55.3$\pm$3.16;46.34$\pm$1.97
ROCAUC;64.65$\pm$1.74;80.15$\pm$1.42;69.26$\pm$2.04;64.34$\pm$2.68
pretrain_time;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan;nan$\pm$nan
