metrics;Citeseer GCN+NCN;Citeseer GCN+MLP;Citeseer GRACE+NCN;Citeseer GRACE+MLP;Citeseer GCA_deg+NCN;Citeseer GCA_deg+MLP;Citeseer GCA_pr+NCN;Citeseer GCA_pr+MLP;Citeseer GCA_evc+NCN;Citeseer GCA_evc+MLP;Citeseer BGRL+NCN;Citeseer BGRL+MLP;Citeseer BGRL_deg+NCN;Citeseer BGRL_deg+MLP;Citeseer BGRL_pr+NCN;Citeseer BGRL_pr+MLP;Citeseer BGRL_evc+NCN;Citeseer BGRL_evc+MLP;Citeseer CSGCL+NCN;Citeseer CSGCL+MLP;Citeseer BGRL_cs+NCN;Citeseer BGRL_cs+MLP
Hits@10;66.18$\pm$5.57;64.14$\pm$6.47;37.92$\pm$3.79;35.78$\pm$4.72;34.52$\pm$6.53;30.66$\pm$3.78;34.52$\pm$6.53;30.66$\pm$3.78;34.52$\pm$6.53;30.66$\pm$3.78;46.19$\pm$3.55;39.08$\pm$3.6;45.48$\pm$2.4;36.73$\pm$3.74;45.48$\pm$2.4;36.73$\pm$3.74;45.2$\pm$2.67;36.73$\pm$3.74;36.23$\pm$3.3;32.13$\pm$4.34;45.48$\pm$2.4;36.73$\pm$3.74
Hits@20;74.95$\pm$3.42;72.75$\pm$3.89;47.37$\pm$2.93;43.45$\pm$3.55;44.56$\pm$5.03;40.71$\pm$3.52;44.56$\pm$5.03;40.71$\pm$3.52;44.56$\pm$5.03;40.71$\pm$3.52;52.02$\pm$4.28;44.38$\pm$3.37;51.12$\pm$1.94;42.79$\pm$3.09;51.12$\pm$1.94;42.79$\pm$3.09;51.04$\pm$2.01;42.91$\pm$2.93;46.57$\pm$3.54;42.22$\pm$3.45;51.12$\pm$1.94;42.79$\pm$3.09
Hits@50;86.42$\pm$1.66;83.71$\pm$1.08;60.27$\pm$2.62;57.07$\pm$3.15;59.49$\pm$2.66;54.99$\pm$2.34;59.49$\pm$2.66;54.99$\pm$2.34;59.49$\pm$2.66;54.99$\pm$2.34;61.85$\pm$3.69;53.19$\pm$3.87;58.85$\pm$2.34;50.7$\pm$3.16;58.85$\pm$2.34;50.7$\pm$3.16;59.07$\pm$2.03;50.64$\pm$3.25;61.73$\pm$2.09;54.81$\pm$2.33;58.85$\pm$2.34;50.7$\pm$3.16
Hits@100;91.49$\pm$0.99;90.67$\pm$1.08;72.55$\pm$2.43;68.27$\pm$2.07;72.29$\pm$2.72;67.57$\pm$2.04;72.29$\pm$2.72;67.57$\pm$2.04;72.29$\pm$2.72;67.57$\pm$2.04;69.18$\pm$3.03;61.45$\pm$3.33;66.47$\pm$2.32;58.89$\pm$2.47;66.47$\pm$2.32;58.89$\pm$2.47;66.43$\pm$2.36;58.75$\pm$2.7;72.66$\pm$1.03;67.21$\pm$2.15;66.47$\pm$2.32;58.89$\pm$2.47
ROCAUC;96.58$\pm$0.45;96.5$\pm$0.4;89.67$\pm$0.71;88.32$\pm$0.95;89.61$\pm$0.91;88.09$\pm$1.03;89.61$\pm$0.91;88.09$\pm$1.03;89.61$\pm$0.91;88.09$\pm$1.03;86.38$\pm$1.63;82.81$\pm$2.03;84.79$\pm$1.47;81.78$\pm$1.58;84.79$\pm$1.47;81.78$\pm$1.58;84.86$\pm$1.42;81.75$\pm$1.6;89.48$\pm$0.54;87.61$\pm$0.69;84.79$\pm$1.47;81.78$\pm$1.58
