metrics;SBM_GRACE+MLP;SBM_BGRL+MLP;graceGCN+mlp;GRACE+mlp;BGRL+mlp
Hits@10;4.53$\pm$0.0;3.66$\pm$0.0;1.51$\pm$0.0;3.66$\pm$0.0;4.74$\pm$0.0
Hits@20;10.13$\pm$0.0;8.62$\pm$0.0;6.03$\pm$0.0;10.78$\pm$0.0;9.27$\pm$0.0
Hits@50;24.57$\pm$0.0;10.56$\pm$0.0;21.55$\pm$0.0;21.77$\pm$0.0;24.57$\pm$0.0
Hits@100;47.41$\pm$0.0;42.89$\pm$0.0;37.28$\pm$0.0;35.34$\pm$0.0;44.83$\pm$0.0
ROCAUC;74.51$\pm$0.0;73.54$\pm$0.0;65.08$\pm$0.0;65.76$\pm$0.0;67.86$\pm$0.0
pretrain_time;124.11$\pm$0.0;107.63$\pm$0.0;nan$\pm$nan;8.15$\pm$0.0;8.11$\pm$0.0
