metrics;Cora GCN+NCN;Cora GCN+MLP;Cora GRACE+NCN;Cora GRACE+MLP;Cora GCA_deg+NCN;Cora GCA_deg+MLP;Cora GCA_pr+NCN;Cora GCA_pr+MLP;Cora GCA_evc+NCN;Cora GCA_evc+MLP;Cora BGRL+NCN;Cora BGRL+MLP;Cora BGRL_deg+NCN;Cora BGRL_deg+MLP;Cora BGRL_pr+NCN;Cora BGRL_pr+MLP;Cora BGRL_evc+NCN;Cora BGRL_evc+MLP;Cora CSGCL+NCN;Cora CSGCL+MLP;Cora BGRL_cs+NCN;Cora BGRL_cs+MLP
Hits@10;35.83$\pm$0.0;14.41$\pm$0.0;35.73$\pm$0.0;29.86$\pm$0.0;36.11$\pm$0.0;19.24$\pm$0.0;35.45$\pm$0.0;17.73$\pm$0.0;36.87$\pm$0.0;16.11$\pm$0.0;44.93$\pm$0.0;27.39$\pm$0.0;37.63$\pm$0.0;22.37$\pm$0.0;37.44$\pm$0.0;22.37$\pm$0.0;38.96$\pm$0.0;17.25$\pm$0.0;36.87$\pm$0.0;30.14$\pm$0.0;41.52$\pm$0.0;20.19$\pm$0.0
Hits@20;42.94$\pm$0.0;20.38$\pm$0.0;43.13$\pm$0.0;37.44$\pm$0.0;40.0$\pm$0.0;26.16$\pm$0.0;40.57$\pm$0.0;27.58$\pm$0.0;38.77$\pm$0.0;25.59$\pm$0.0;50.81$\pm$0.0;37.16$\pm$0.0;42.56$\pm$0.0;32.51$\pm$0.0;42.56$\pm$0.0;33.36$\pm$0.0;42.46$\pm$0.0;31.09$\pm$0.0;43.89$\pm$0.0;39.81$\pm$0.0;49.0$\pm$0.0;29.76$\pm$0.0
Hits@50;49.48$\pm$0.0;30.05$\pm$0.0;57.63$\pm$0.0;54.03$\pm$0.0;50.62$\pm$0.0;42.37$\pm$0.0;50.52$\pm$0.0;41.14$\pm$0.0;47.77$\pm$0.0;38.2$\pm$0.0;64.55$\pm$0.0;57.16$\pm$0.0;56.59$\pm$0.0;50.43$\pm$0.0;56.68$\pm$0.0;49.29$\pm$0.0;57.54$\pm$0.0;45.78$\pm$0.0;57.16$\pm$0.0;52.32$\pm$0.0;61.23$\pm$0.0;50.71$\pm$0.0
Hits@100;54.98$\pm$0.0;38.96$\pm$0.0;68.53$\pm$0.0;63.89$\pm$0.0;64.27$\pm$0.0;59.15$\pm$0.0;63.89$\pm$0.0;57.82$\pm$0.0;61.71$\pm$0.0;56.49$\pm$0.0;74.5$\pm$0.0;72.89$\pm$0.0;68.91$\pm$0.0;59.34$\pm$0.0;68.72$\pm$0.0;60.0$\pm$0.0;67.87$\pm$0.0;57.44$\pm$0.0;69.86$\pm$0.0;66.64$\pm$0.0;74.98$\pm$0.0;65.5$\pm$0.0
ROCAUC;77.94$\pm$0.0;71.69$\pm$0.0;90.73$\pm$0.0;89.14$\pm$0.0;88.43$\pm$0.0;86.92$\pm$0.0;88.51$\pm$0.0;86.81$\pm$0.0;87.52$\pm$0.0;86.1$\pm$0.0;90.43$\pm$0.0;89.08$\pm$0.0;89.09$\pm$0.0;86.94$\pm$0.0;89.18$\pm$0.0;86.99$\pm$0.0;88.43$\pm$0.0;85.58$\pm$0.0;90.4$\pm$0.0;89.87$\pm$0.0;90.56$\pm$0.0;88.26$\pm$0.0
pretrain_time;nan$\pm$nan;nan$\pm$nan;0.29$\pm$0.0;0.23$\pm$0.0;0.23$\pm$0.0;0.24$\pm$0.0;0.26$\pm$0.0;0.28$\pm$0.0;0.27$\pm$0.0;0.26$\pm$0.0;0.25$\pm$0.0;0.21$\pm$0.0;0.22$\pm$0.0;0.21$\pm$0.0;0.22$\pm$0.0;0.18$\pm$0.0;0.2$\pm$0.0;0.23$\pm$0.0;0.24$\pm$0.0;0.22$\pm$0.0;0.18$\pm$0.0;0.17$\pm$0.0
pos_test_pred;tensor([0.8959, 0.9714, 1.0566,  ..., 0.9505, 0.9395, 0.8488]);tensor([0.5168, 0.5380, 0.5852,  ..., 0.5407, 0.5248, 0.5026]);tensor([-0.5390, -0.0396, -0.3387,  ..., -0.7719,  0.1570, -1.3250]);tensor([0.9623, 1.0000, 1.0000,  ..., 0.9885, 1.0000, 0.7679]);tensor([ 1.1971,  1.2014,  1.1224,  ..., -1.9681,  1.1931,  1.0965]);tensor([0.7292, 0.9785, 0.7892,  ..., 0.0019, 1.0000, 0.8771]);tensor([ 1.2271,  1.2326,  1.1637,  ..., -2.0320,  1.2157,  1.1414]);tensor([0.7205, 0.9807, 0.7930,  ..., 0.0011, 1.0000, 0.8655]);tensor([ 1.5314,  1.5921,  1.5667,  ..., -1.5999,  1.5622,  1.4329]);tensor([0.6530, 0.9363, 0.6998,  ..., 0.0140, 0.9954, 0.7533]);tensor([1.0214, 1.1689, 1.1213,  ..., 1.0723, 1.2953, 0.8641]);tensor([0.6956, 0.8817, 0.7935,  ..., 0.9253, 1.0000, 0.7648]);tensor([1.1282, 1.1264, 1.1724,  ..., 0.9755, 1.1508, 0.6890]);tensor([0.7201, 0.8695, 0.9626,  ..., 0.7703, 0.9823, 0.7197]);tensor([1.1587, 1.1608, 1.1999,  ..., 0.9885, 1.1409, 0.7212]);tensor([0.7141, 0.8722, 0.9605,  ..., 0.7710, 0.9846, 0.7116]);tensor([1.0957, 1.1620, 1.1693,  ..., 0.7922, 1.1233, 0.5634]);tensor([0.6986, 0.8865, 0.9659,  ..., 0.6838, 0.9745, 0.6412]);tensor([-3.0167, -2.8486, -3.3896,  ..., -3.4481, -1.0308, -3.2801]);tensor([0.9514, 1.0000, 1.0000,  ..., 0.9996, 1.0000, 0.8701]);tensor([0.9583, 1.2607, 1.2131,  ..., 1.1255, 1.2727, 0.9919]);tensor([0.6478, 0.8970, 0.8904,  ..., 0.8410, 1.0000, 0.7810])
neg_test_pred;tensor([0.8867, 0.8552, 0.8517,  ..., 0.9074, 0.9121, 1.0023]);tensor([0.5138, 0.5058, 0.5029,  ..., 0.5173, 0.5201, 0.5567]);tensor([-1.5346, -1.9681, -1.8530,  ..., -1.8214, -2.2566, -0.4472]);tensor([0.5683, 0.3811, 0.5397,  ..., 0.2701, 0.0040, 0.9992]);tensor([-1.0287, -2.1708, -2.0213,  ..., -2.2533, -2.2487,  1.1043]);"tensor([1.6231e-01, 1.1285e-01, 7.2241e-02,  ..., 2.0368e-03, 6.2482e-05,
        8.1050e-01])";tensor([-0.9183, -2.1467, -2.1135,  ..., -2.2700, -2.2518,  1.1574]);"tensor([1.7203e-01, 1.3434e-01, 6.5613e-02,  ..., 3.6224e-03, 1.6313e-04,
        8.2598e-01])";tensor([-1.5549, -2.0593, -2.0910,  ..., -2.1838, -2.1739,  1.5681]);"tensor([1.2309e-01, 1.2441e-01, 5.1443e-02,  ..., 8.3521e-03, 4.4483e-04,
        7.8145e-01])";tensor([0.7095, 0.9481, 0.7436,  ..., 0.3457, 0.3851, 0.8515]);tensor([0.5421, 0.5576, 0.5261,  ..., 0.4040, 0.3367, 0.5983]);tensor([0.5389, 0.8534, 0.7618,  ..., 0.6519, 0.4088, 1.1645]);tensor([0.4906, 0.5839, 0.5234,  ..., 0.5712, 0.4602, 0.8191]);tensor([0.5582, 0.8576, 0.7764,  ..., 0.6589, 0.4380, 1.1922]);tensor([0.4949, 0.5857, 0.5241,  ..., 0.5613, 0.4613, 0.8362]);tensor([0.5170, 0.7739, 0.7067,  ..., 0.8106, 0.4438, 1.0926]);tensor([0.4803, 0.5948, 0.5354,  ..., 0.6234, 0.4976, 0.7861]);tensor([-4.1635, -4.1801, -4.2397,  ..., -4.1265, -4.2012, -3.3781]);tensor([0.3376, 0.3613, 0.4162,  ..., 0.3155, 0.0235, 0.9875]);tensor([0.6088, 0.8992, 0.6378,  ..., 0.1219, 0.1761, 0.8349]);tensor([0.5141, 0.5434, 0.4709,  ..., 0.3108, 0.2705, 0.5824])
