metrics;Cora GCN+NCN;Cora GCN+MLP;Cora GRACE+NCN;Cora GRACE+MLP;Cora GCA_deg+NCN;Cora GCA_deg+MLP;Cora GCA_pr+NCN;Cora GCA_pr+MLP;Cora GCA_evc+NCN;Cora GCA_evc+MLP;Cora BGRL+NCN;Cora BGRL+MLP;Cora BGRL_deg+NCN;Cora BGRL_deg+MLP;Cora BGRL_pr+NCN;Cora BGRL_pr+MLP;Cora BGRL_evc+NCN;Cora BGRL_evc+MLP;Cora CSGCL+NCN;Cora CSGCL+MLP;Cora BGRL_cs+NCN;Cora BGRL_cs+MLP
Hits@10;37.5$\pm$2.78;12.82$\pm$2.51;35.44$\pm$2.25;15.96$\pm$3.61;36.2$\pm$3.66;12.96$\pm$3.22;35.66$\pm$2.37;11.95$\pm$3.38;35.49$\pm$1.79;10.99$\pm$3.39;36.2$\pm$1.89;11.69$\pm$1.84;36.02$\pm$1.97;12.19$\pm$2.07;36.35$\pm$1.98;11.45$\pm$2.23;36.41$\pm$1.74;11.4$\pm$2.18;36.97$\pm$2.92;16.53$\pm$3.68;36.27$\pm$2.14;11.73$\pm$1.4
Hits@20;42.72$\pm$2.23;18.93$\pm$2.29;39.56$\pm$2.08;22.36$\pm$3.06;39.24$\pm$4.35;18.43$\pm$3.69;39.48$\pm$3.26;17.12$\pm$3.3;39.61$\pm$4.59;16.89$\pm$4.11;40.68$\pm$1.8;16.79$\pm$1.71;40.26$\pm$1.64;16.52$\pm$1.77;40.5$\pm$1.63;16.22$\pm$1.6;40.26$\pm$2.11;16.45$\pm$1.61;43.66$\pm$2.19;24.02$\pm$2.27;40.32$\pm$1.56;16.75$\pm$1.77
Hits@50;50.5$\pm$1.33;29.11$\pm$2.3;48.15$\pm$2.85;34.95$\pm$3.07;45.31$\pm$5.26;29.22$\pm$3.9;45.65$\pm$3.48;27.24$\pm$2.66;46.32$\pm$5.16;26.55$\pm$3.84;49.74$\pm$1.32;28.19$\pm$1.69;49.55$\pm$1.9;28.82$\pm$1.37;49.66$\pm$2.03;28.45$\pm$2.07;49.49$\pm$1.72;28.11$\pm$1.78;52.98$\pm$2.22;38.25$\pm$2.03;49.74$\pm$1.49;28.11$\pm$1.9
Hits@100;58.85$\pm$1.11;41.65$\pm$2.11;58.7$\pm$3.19;50.38$\pm$2.96;52.89$\pm$4.8;39.48$\pm$5.19;53.1$\pm$2.74;38.03$\pm$3.44;54.13$\pm$5.23;38.68$\pm$4.08;58.97$\pm$0.79;41.31$\pm$2.33;58.22$\pm$1.82;42.22$\pm$1.67;58.44$\pm$1.78;42.33$\pm$1.68;58.24$\pm$1.88;42.35$\pm$1.64;63.43$\pm$1.3;53.04$\pm$1.96;59.0$\pm$1.09;41.2$\pm$1.09
ROCAUC;84.79$\pm$0.69;78.44$\pm$0.57;86.82$\pm$1.1;83.83$\pm$1.42;81.64$\pm$2.25;76.21$\pm$5.19;80.51$\pm$1.78;73.86$\pm$4.81;81.44$\pm$4.97;76.38$\pm$3.4;84.68$\pm$0.53;79.31$\pm$0.66;84.83$\pm$0.38;79.9$\pm$0.56;84.87$\pm$0.39;79.89$\pm$0.53;84.91$\pm$0.39;79.92$\pm$0.51;88.15$\pm$0.57;85.01$\pm$0.61;84.74$\pm$0.53;79.34$\pm$0.53
pretrain_time;nan$\pm$nan;nan$\pm$nan;41.91$\pm$8.06;42.82$\pm$5.32;41.33$\pm$4.2;40.54$\pm$3.71;43.1$\pm$4.17;37.03$\pm$2.25;39.7$\pm$2.1;36.94$\pm$3.1;26.54$\pm$3.24;23.91$\pm$0.49;23.27$\pm$0.62;23.05$\pm$0.6;23.51$\pm$0.72;25.77$\pm$1.88;26.14$\pm$1.56;25.6$\pm$1.39;38.67$\pm$1.54;45.87$\pm$3.69;26.75$\pm$3.28;23.71$\pm$0.69
