metrics;SBM_GRACE+Inner;SBM_BGRL+Inner;SBM_CSGCL+inner;GCN+inner;GRACE+inner;BGRL+inner;CSGCL+inner;BGRL_cs+inner
Hits@10;4.93$\pm$1.4;12.3$\pm$3.12;9.47$\pm$2.56;17.59$\pm$5.94;12.71$\pm$2.98;7.26$\pm$1.99;15.76$\pm$5.33;7.62$\pm$1.22
Hits@20;9.78$\pm$1.99;20.44$\pm$2.95;18.73$\pm$2.7;31.05$\pm$5.89;30.08$\pm$6.75;12.83$\pm$1.78;30.8$\pm$4.25;11.75$\pm$1.81
Hits@50;23.57$\pm$3.77;35.04$\pm$3.89;36.65$\pm$5.36;78.37$\pm$9.35;73.66$\pm$4.9;20.97$\pm$2.8;71.83$\pm$5.13;20.22$\pm$2.75
Hits@100;44.68$\pm$3.84;49.5$\pm$4.53;56.81$\pm$5.21;99.03$\pm$0.5;96.26$\pm$2.93;30.58$\pm$2.35;97.92$\pm$0.9;30.89$\pm$2.43
ROCAUC;62.84$\pm$1.68;63.5$\pm$3.86;72.02$\pm$2.95;90.75$\pm$1.42;89.15$\pm$1.5;48.09$\pm$2.06;89.8$\pm$0.61;47.64$\pm$2.08
pretrain_time;69.98$\pm$4.25;102.49$\pm$3.89;93.58$\pm$3.22;nan$\pm$nan;8.68$\pm$0.2;5.63$\pm$0.26;9.39$\pm$0.62;6.18$\pm$0.27
